x,y,val
1,6,2276
2,11,7837
0,14,845
1,14,856
3,5,8540
2,9,63662
1,4,985
2,10,11231
2,6,4309
2,14,1113
0,7,1171
0,9,4650
5,4,1739
1,3,5031
2,12,1104
1,5,8
4,4,167
0,0,11
2,3,208
4,13,6173
1,13,608
0,1,177
5,15,6936
3,13,461
3,4,268
4,15,94
4,9,4007
5,3,127
1,8,31905
7,15,18
3,15,116
6,13,45
2,8,16393
3,8,2586
4,14,87
3,12,1114
3,10,1899
5,13,300
4,5,540
1,9,415381
6,5,7
5,5,377
2,13,678
0,15,1146
4,10,1402
6,4,45
2,7,5105
3,6,1922
1,12,1210
1,10,19388
4,8,1607
6,14,886
3,9,4811
1,11,2077
0,2,107
4,6,472
0,4,1438
4,12,1207
3,14,764
4,7,767
0,12,1921
4,11,712
2,4,1280
3,7,2111
7,14,6
1,2,4
4,3,25
5,8,35
0,5,353
2,5,1334
0,8,29020
1,7,4120
0,6,1167
2,15,652
0,11,2662
0,13,1663
3,11,1203
5,14,484
6,15,6715
0,10,3063
1,15,8499
0,3,2177
