x,y,val
18,10,1115
12,26,6915
7,5,1182
18,25,6421
17,10,2121
6,28,11570
16,20,3651
12,4,1856
1,0,32895
19,11,3615
16,31,10598
4,21,7030
12,23,15898
19,16,643
29,8,5804
31,6,12456
4,7,1691
23,1,25957
24,2,51781
17,11,5562
30,27,3486
19,0,97127
30,5,6041
11,26,5455
16,2,8056
2,26,8946
23,4,6670
24,3,8131
3,1,1012
11,27,9311
28,2,9010
19,15,1494
10,28,12857
7,19,32668
1,3,4220
4,30,10067
8,9,3170
11,12,427
2,24,8299
6,27,9366
25,4,4253
8,19,10459
14,5,13800
14,31,982
10,20,15283
25,19,170
0,24,10649
7,24,6173
22,21,4940
24,14,3371
0,12,1976
22,14,21532
15,8,2722
15,24,138440
20,13,8893
24,11,12923
24,13,11302
21,0,12796
25,25,6665
12,0,2747
8,22,5280
20,1,9074
15,10,265
26,28,2582
20,4,518
28,9,8776
5,22,20377
6,30,6730
25,29,8628
0,23,16537
6,15,9
24,18,215
5,21,10071
3,4,4955
11,20,11870
11,28,6110
22,22,9691
8,17,2152
21,5,10799
24,27,4722
4,13,3571
29,27,5934
12,12,1237
15,17,184
13,16,3678
22,18,37
21,24,4348
23,15,25946
27,3,7627
15,19,2612
25,23,18877
23,17,92
25,18,1461
11,19,1970
13,29,1939
6,12,2822
6,22,5361
27,21,188
24,24,9562
27,30,7154
20,30,11126
24,20,363
20,15,1902
17,19,179
19,1,47667
5,26,5890
20,10,5195
16,6,33098
11,7,8773
18,30,7062
23,21,2600
28,1,8617
22,0,2685
21,26,1710
30,31,6155
1,6,5892
15,29,788
3,25,9699
20,24,7322
7,7,3360
4,29,8717
17,6,69569
14,8,694
27,4,13745
26,16,1024
20,16,4542
6,19,45615
10,7,15825
8,0,24318
28,27,5109
28,11,8657
1,28,5670
2,31,7352
1,12,4938
23,23,7966
11,16,3292
4,5,682
4,10,36
17,29,8329
9,21,4346
28,21,4728
13,18,29
24,5,1662
8,30,9999
5,5,666
21,30,8035
10,29,13574
21,28,3492
18,29,1689
18,13,2228
17,27,13200
3,14,2953
22,6,6736
6,20,17496
7,31,11155
12,9,84
10,3,199
29,4,28353
2,16,2260
16,19,198
3,8,1079
2,3,10955
7,3,12299
22,5,15329
5,16,1356
12,24,8267
27,16,3747
8,2,3860
10,2,392
17,23,27110
9,12,197
1,18,14285
5,14,17536
15,31,5158
14,22,10051
29,29,3395
6,14,2069
9,26,17805
15,0,3322
23,19,3434
