x,y,resolution,ms_pop
4059000,3108000,1000,11
3800000,3131000,1000,23
3800000,3132000,1000,5
3800000,3133000,1000,23
3801000,3108000,1000,9
3801000,3109000,1000,11
3801000,3111000,1000,10
3801000,3112000,1000,9
3801000,3114000,1000,4
3801000,3115000,1000,14
3801000,3116000,1000,43
3801000,3124000,1000,6
3801000,3125000,1000,5
3801000,3126000,1000,28
3801000,3127000,1000,22
3801000,3128000,1000,5
3801000,3129000,1000,34
3801000,3131000,1000,5
3801000,3132000,1000,14
3801000,3133000,1000,8
3801000,3135000,1000,372
3802000,3104000,1000,5
3802000,3105000,1000,9
3802000,3106000,1000,17
3802000,3107000,1000,57
3802000,3108000,1000,133
3802000,3110000,1000,29
3802000,3111000,1000,17
3802000,3112000,1000,12
3802000,3113000,1000,34
3802000,3114000,1000,169
3802000,3115000,1000,7
3802000,3116000,1000,108
3802000,3117000,1000,11
3802000,3124000,1000,41
3802000,3125000,1000,26
3802000,3126000,1000,42
3802000,3127000,1000,9
3802000,3128000,1000,8
3802000,3129000,1000,7
3802000,3131000,1000,8
3802000,3132000,1000,633
3802000,3133000,1000,283
3802000,3134000,1000,58
3802000,3136000,1000,923
3803000,3104000,1000,30
3803000,3105000,1000,23
3803000,3106000,1000,22
3803000,3107000,1000,16
3803000,3108000,1000,14
3803000,3109000,1000,44
3803000,3110000,1000,6
3803000,3111000,1000,24
3803000,3112000,1000,11
3803000,3113000,1000,44
3803000,3114000,1000,84
3803000,3116000,1000,137
3803000,3117000,1000,30
3803000,3118000,1000,4
3803000,3120000,1000,5
3803000,3121000,1000,23
3803000,3122000,1000,36
3803000,3123000,1000,253
3803000,3124000,1000,15
3803000,3125000,1000,95
3803000,3126000,1000,332
3803000,3127000,1000,20
3803000,3128000,1000,6
3803000,3129000,1000,8
3803000,3130000,1000,14
3803000,3131000,1000,6
3803000,3132000,1000,228
3803000,3134000,1000,219
3803000,3136000,1000,1903
3804000,3103000,1000,7
3804000,3104000,1000,25
3804000,3105000,1000,71
3804000,3106000,1000,25
3804000,3107000,1000,33
3804000,3108000,1000,43
3804000,3109000,1000,53
3804000,3110000,1000,28
3804000,3111000,1000,53
3804000,3112000,1000,88
3804000,3113000,1000,58
3804000,3114000,1000,27
3804000,3115000,1000,54
3804000,3116000,1000,19
3804000,3117000,1000,159
3804000,3118000,1000,145
3804000,3119000,1000,18
3804000,3120000,1000,32
3804000,3121000,1000,18
3804000,3122000,1000,113
3804000,3123000,1000,160
3804000,3124000,1000,6
3804000,3125000,1000,36
3804000,3126000,1000,27
3804000,3127000,1000,14
3804000,3128000,1000,18
3804000,3129000,1000,24
3804000,3130000,1000,11
3804000,3131000,1000,8
3804000,3132000,1000,17
3804000,3133000,1000,11
3804000,3134000,1000,4
3804000,3137000,1000,892
3805000,3105000,1000,79
3805000,3106000,1000,23
3805000,3107000,1000,38
3805000,3108000,1000,88
3805000,3109000,1000,88
3805000,3110000,1000,13
3805000,3111000,1000,50
3805000,3112000,1000,662
3805000,3113000,1000,51
3805000,3114000,1000,23
3805000,3115000,1000,31
3805000,3116000,1000,9
3805000,3117000,1000,18
3805000,3118000,1000,21
3805000,3119000,1000,23
3805000,3120000,1000,11
3805000,3121000,1000,21
3805000,3122000,1000,15
3805000,3123000,1000,38
3805000,3124000,1000,21
3805000,3125000,1000,16
3805000,3126000,1000,32
3805000,3127000,1000,66
3805000,3128000,1000,21
3805000,3131000,1000,10
3805000,3132000,1000,9
3805000,3133000,1000,32
3805000,3134000,1000,11
3805000,3135000,1000,389
3805000,3138000,1000,6
3806000,3103000,1000,27
3806000,3104000,1000,29
3806000,3105000,1000,73
3806000,3106000,1000,57
3806000,3107000,1000,52
3806000,3108000,1000,49
3806000,3109000,1000,26
3806000,3110000,1000,30
3806000,3111000,1000,30
3806000,3112000,1000,35
3806000,3113000,1000,70
3806000,3114000,1000,14
3806000,3115000,1000,32
3806000,3116000,1000,47
3806000,3117000,1000,228
3806000,3118000,1000,39
3806000,3119000,1000,20
3806000,3120000,1000,19
3806000,3121000,1000,59
3806000,3122000,1000,46
3806000,3123000,1000,203
3806000,3124000,1000,122
3806000,3125000,1000,13
3806000,3126000,1000,292
3806000,3128000,1000,15
3806000,3130000,1000,32
3806000,3131000,1000,4
3806000,3132000,1000,71
3806000,3133000,1000,196
3806000,3135000,1000,32
3806000,3138000,1000,1305
3807000,3103000,1000,40
3807000,3104000,1000,21
3807000,3105000,1000,14
3807000,3106000,1000,36
3807000,3107000,1000,37
3807000,3108000,1000,38
3807000,3109000,1000,24
3807000,3110000,1000,229
3807000,3111000,1000,68
3807000,3112000,1000,30
3807000,3113000,1000,66
3807000,3114000,1000,294
3807000,3115000,1000,83
3807000,3116000,1000,62
3807000,3117000,1000,85
3807000,3118000,1000,7
