x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
45,24,2307,4240,5569,5530,699,3979,694,1681,11507,1443,8187,1798,5721,5946,643,4162,997
46,23,1554,3115,3505,3785,511,2713,508,1016,7716,964,5427,1278,3983,3900,435,2677,719
46,24,92213,189556,208832,224568,28331,157553,33030,73096,467433,58858,320309,84571,228031,240078,26686,159714,47223
46,25,1000,1486,1522,1817,150,1306,182,300,3663,339,2503,690,1575,1742,135,1101,318
47,22,95,239,151,233,26,149,54,45,466,58,290,111,242,215,24,130,57
47,23,61037,112066,91953,120574,17881,80219,18498,29251,248773,36922,162344,46664,110208,125573,17048,79414,24992
47,24,37521,54553,39711,58405,6046,37537,7620,6887,122901,14671,77238,25766,46110,59589,5706,34591,11305
47,25,241779,481708,549523,576739,89237,401932,78229,236015,1220287,179682,827951,209443,546339,641660,84870,423622,123321
47,26,3176,3807,3533,4443,784,3100,447,289,9193,1715,6050,1366,3727,4721,819,2916,834
48,22,75875,160070,159620,185287,29678,127029,25862,61211,384147,59819,258893,63752,180242,197438,28663,130252,35543
48,23,27182,43160,29451,45489,6709,29889,5469,4882,93400,14796,59022,17423,38008,45853,6384,26853,8484
48,24,21304,28120,16949,27371,3268,17704,3713,1911,57829,7759,36108,12185,20563,28960,3103,16671,5765
48,25,208913,267385,267774,312146,46675,217247,37115,52038,649447,99515,434341,110096,265449,333446,44291,212587,61366
48,26,37492,47681,51219,58368,9962,41162,6526,8918,119519,20009,80675,18597,51339,61006,9435,39380,11169
49,21,58,114,235,234,57,152,20,50,469,102,312,51,232,235,45,160,26
49,22,28206,57784,53579,66531,11253,44333,8994,19236,137572,23180,90063,23259,62184,70190,10688,44686,12643
49,24,58304,81561,62861,85899,15194,58457,10916,12439,176637,30315,115543,30050,72339,90269,14120,56534,18035
49,25,106868,151857,126333,161629,25347,113027,19655,30462,335747,52082,225638,55971,137946,172701,23995,111065,32857
50,21,1117,1820,1960,2362,295,1503,310,453,4835,706,3065,929,1949,2408,287,1425,411
50,22,103,138,151,235,28,135,12,0,508,70,336,62,173,227,20,134,13
50,24,24328,28784,21632,30472,5375,20785,3915,2943,62121,10878,40374,10563,22629,31387,5256,19322,6338
50,25,47260,74058,62282,77269,12694,53612,10198,15759,162944,25442,109159,27987,72643,85432,12196,55236,17063
