IDENTIFIER,TOTAL,WOMEN,MEN,TOTAL_0_14,WOMEN_0_14,MEN_0_14,TOTAL_15_64,WOMEN_15_64,MEN_15_64_,TOTAL_65p,WOMEN_65p,MEN_65p,INACTIVE_POPULATION,LABOUR_FORCE,BASIC_EDUCATION_OR_LESS,UPPER_SECONDARY_EDUCATION,TERTIARY_EDUCATION
1kmN2186E5019,21,10,11,0,0,0,15,8,7,6,D,D,D,12,D,D,D
1kmN2186E5020,59,29,30,D,D,D,35,20,15,21,7,14,32,24,21,27,D
1kmN2187E5019,47,23,24,5,D,D,32,16,16,10,D,D,21,21,17,21,D
1kmN2187E5020,24,12,12,D,D,D,16,8,8,D,D,D,11,D,D,11,D
1kmN2188E5014,80,33,47,12,5,7,55,23,32,13,5,8,32,36,26,32,D
1kmN2188E5015,113,57,56,17,11,6,68,34,34,28,12,16,48,48,34,46,16
1kmN2188E5018,29,16,13,D,D,D,18,9,9,9,D,D,11,16,D,16,D
1kmN2188E5019,19,7,12,D,D,D,12,6,6,D,D,D,D,D,D,D,0
1kmN2189E5014,14,7,7,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2189E5015,5,D,D,0,0,0,5,D,D,0,0,0,D,D,D,D,0
1kmN2189E5017,8,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0
1kmN2189E5018,12,D,D,D,D,D,8,D,D,D,D,D,D,D,D,D,0
1kmN2190E5015,45,21,24,D,D,D,31,14,17,11,6,5,16,26,19,20,D
1kmN2190E5016,22,9,13,0,0,0,14,6,8,8,D,D,12,D,12,D,0
1kmN2190E5017,21,9,12,D,D,D,13,7,6,5,D,D,11,D,D,D,D
1kmN2191E5013,88,45,43,12,D,D,51,23,28,25,14,11,41,35,33,35,D
1kmN2192E5010,37,19,18,5,D,D,20,7,13,12,D,D,17,15,13,14,D
1kmN2192E5011,17,6,11,D,D,D,12,D,D,D,D,D,D,D,D,D,D
1kmN2192E5013,81,43,38,9,D,D,52,24,28,20,12,8,35,37,25,37,D
1kmN2193E5010,16,8,8,D,D,D,10,D,D,D,D,D,D,D,D,D,D
1kmN2193E5012,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2193E5013,D,D,D,0,0,0,D,D,D,0,0,0,0,D,0,0,D
1kmN2193E5014,18,10,8,D,D,D,13,8,5,D,D,D,11,D,D,D,0
1kmN2194E5004,12,6,6,D,D,D,8,D,D,D,D,D,D,D,D,D,D
1kmN2194E5005,14,6,8,0,0,0,11,D,D,D,D,D,D,D,D,D,D
1kmN2194E5006,15,7,8,D,D,D,7,D,D,5,D,D,D,D,D,D,D
1kmN2194E5007,202,108,94,37,17,20,127,65,62,38,26,12,74,91,51,90,24
1kmN2194E5008,47,22,25,6,D,D,26,11,15,15,10,5,20,21,18,20,D
1kmN2194E5009,39,20,19,7,D,D,18,8,10,14,9,5,19,13,D,20,D
1kmN2194E5010,124,64,60,21,13,8,85,44,41,18,7,11,44,59,21,53,29
1kmN2194E5011,11,5,6,D,D,D,6,D,D,D,D,D,D,D,D,D,D
1kmN2194E5012,32,19,13,D,D,D,21,15,6,9,D,D,14,16,D,18,D
