x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
0,0,12,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
1,1,9,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
1,95,7,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
2,123,8,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
3,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
3,121,8,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0
3,126,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
3,127,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
5,1,4,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
5,115,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
7,116,25,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0
8,100,13,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0
9,101,17,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,0
10,92,9,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
10,96,8,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0
10,110,226,200,8817,2544,241,126,464,13,416,396,39253,7321,661,281,1633,11361,46574
10,111,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
11,106,9,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0
11,110,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
11,125,14,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0
12,100,12,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0
12,117,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
12,125,10,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
15,121,21,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0
15,124,25,33,932,244,41,7,24,6,46,48,2326,485,122,9,28,1176,2811
16,127,18,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0
17,94,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
18,92,68,84,1529,1636,279,207,67,5,171,114,3036,3143,458,358,194,3165,6179
19,92,17,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0
21,108,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
21,109,3,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0
22,113,6,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
23,91,16,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0
24,122,18,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0
27,88,5,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
27,98,21,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0
28,98,7,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
28,101,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
28,103,86,0,0,0,0,0,0,4,202,0,0,0,0,0,0,0,0
28,118,27,92,425,481,8,136,46,6,49,188,1594,1581,27,324,144,906,3175
29,97,6,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0
29,98,66,75,3226,1208,156,109,178,5,130,169,6503,3859,559,163,295,4434,10362
29,110,13,0,0,0,0,0,0,1,56,0,0,0,0,0,0,0,0
30,87,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
30,92,9,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0
31,88,11,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0
31,92,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
32,123,6,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0
33,103,5,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
34,95,10,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0
34,103,7,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
35,89,15,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0
35,104,6,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
35,108,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
35,109,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
35,113,6,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
36,103,35,0,0,0,0,0,0,2,65,0,0,0,0,0,0,0,0
36,109,98,0,0,0,0,0,0,3,305,0,0,0,0,0,0,0,0
39,108,7,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0
41,90,33,0,0,0,0,0,0,3,68,0,0,0,0,0,0,0,0
41,97,6,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
41,106,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
41,115,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
42,90,5,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
43,89,267,480,7508,8887,1260,650,447,41,631,709,14886,16106,2188,837,753,16395,30992
43,91,6,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
43,107,65,86,2628,1246,104,84,157,6,109,99,4993,2833,271,169,216,3874,7826
43,108,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
45,108,4,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
45,123,11,48,403,291,27,89,22,3,17,76,593,791,38,391,24,694,1384
46,112,11,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0
46,123,25,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0
49,91,17,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0
52,90,6,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
52,121,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
53,98,6,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
55,119,45,0,0,0,0,0,0,4,93,0,0,0,0,0,0,0,0
55,120,9,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0
56,109,5,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
56,118,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
57,100,20,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0
57,117,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
57,123,6,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
58,91,33,6,330,285,46,59,22,4,69,8,639,689,84,335,22,615,1328
58,99,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
