x,y,Population
1960,1000,0
1965,1000,0
1970,1000,0
1975,1000,0
1980,1000,10217
1985,1000,0
1695,1005,0
1705,1005,0
1710,1005,0
1965,1005,0
1970,1005,0
1975,1005,0
1980,1005,0
1990,1005,0
1995,1005,0
1690,1010,0
1695,1010,22466
1700,1010,8331
1705,1010,2770
1710,1010,2519
1715,1010,0
1980,1010,2760
1985,1010,3545
1990,1010,2861
1995,1010,0
2000,1010,1394
2005,1010,7219
2010,1010,116
2015,1010,190
2020,1010,0
1555,1015,0
1560,1015,297
1685,1015,0
1690,1015,24541
1695,1015,12174
1700,1015,8113
1705,1015,22377
1710,1015,97
1715,1015,1354
1720,1015,1166
1980,1015,0
1985,1015,2434
1990,1015,375
1995,1015,572
2000,1015,2303
2005,1015,7707
2010,1015,11764
2015,1015,56622
2020,1015,7446
2025,1015,165
1555,1020,0
1560,1020,14
1565,1020,0
1685,1020,0
1690,1020,20740
1695,1020,12151
1700,1020,7035
1705,1020,7855
1710,1020,1796
1715,1020,2828
1720,1020,1293
1725,1020,182
1985,1020,0
1990,1020,59
1995,1020,1765
2000,1020,10
2005,1020,1216
2010,1020,6544
2015,1020,3995
2020,1020,397
2025,1020,387
2030,1020,0
1545,1025,0
1550,1025,0
1555,1025,0
1560,1025,1448
1565,1025,31
1570,1025,107
1685,1025,3732
1690,1025,19538
1695,1025,199
1700,1025,1162
1705,1025,0
1710,1025,0
1715,1025,410
1720,1025,2434
1725,1025,822
1730,1025,0
1985,1025,0
1990,1025,132
1995,1025,0
2000,1025,0
2005,1025,2318
2010,1025,1864
2015,1025,1677
2020,1025,310
2025,1025,1027
2030,1025,82
1545,1030,0
1550,1030,167
1555,1030,171
1560,1030,3358
1565,1030,0
1570,1030,2277
1575,1030,442
1635,1030,0
1640,1030,0
1645,1030,284
1650,1030,0
1655,1030,0
1685,1030,274
1690,1030,1975
1695,1030,539
1700,1030,0
1705,1030,0
1710,1030,0
1715,1030,0
1720,1030,11
1725,1030,1348
1730,1030,4310
1735,1030,0
1990,1030,0
1995,1030,0
2000,1030,0
2005,1030,1728
2010,1030,1528
2015,1030,228
2020,1030,839
2025,1030,1807
2030,1030,2256
2035,1030,0
1545,1035,0
1550,1035,0
1555,1035,0
1560,1035,0
1565,1035,810
1570,1035,1350
1575,1035,268
1635,1035,396
1640,1035,1943
1645,1035,56
1650,1035,45
1655,1035,8406
1660,1035,0
1680,1035,0
1685,1035,11376
1690,1035,5559
1695,1035,0
1700,1035,0
1705,1035,0
1710,1035,0
1715,1035,0
1720,1035,0
1725,1035,13724
1730,1035,11204
1735,1035,2903
2000,1035,0
2005,1035,0
2010,1035,0
2015,1035,0
2020,1035,0
2025,1035,27
2030,1035,166
2035,1035,0
1560,1040,0
1565,1040,0
1570,1040,0
1630,1040,0
1635,1040,3738
1640,1040,311
1645,1040,0
1650,1040,244
1655,1040,0
1660,1040,0
1685,1040,8351
1690,1040,2385
1695,1040,0
1700,1040,0
1705,1040,0
1710,1040,0
1715,1040,58
1720,1040,1051
1725,1040,75
1730,1040,2685
1735,1040,16646
1740,1040,22611
1745,1040,0
1750,1040,0
2020,1040,0
2025,1040,776
2030,1040,70
2035,1040,0
1630,1045,0
1635,1045,800
1640,1045,217
1645,1045,295
1650,1045,2906
1655,1045,0
1680,1045,0
1685,1045,759
1690,1045,1100
1695,1045,0
1700,1045,678
1705,1045,333
1710,1045,3059
1715,1045,38024
1720,1045,33015
1725,1045,1498
1730,1045,0
1735,1045,5668
1740,1045,83673
1745,1045,166620
1750,1045,9249
1755,1045,4170
1760,1045,0
2020,1045,0
2025,1045,0
2030,1045,0
1635,1050,317
1640,1050,226
1645,1050,1499
1650,1050,0
1680,1050,0
1685,1050,796
1690,1050,1436
1695,1050,5302
1700,1050,21349
1705,1050,9920
1710,1050,4327
1715,1050,29421
1720,1050,11004
1725,1050,20514
1730,1050,20953
1735,1050,15399
1740,1050,46920
1745,1050,4855
1750,1050,303
1755,1050,841
1760,1050,0
1765,1050,0
2025,1050,0
2030,1050,0
1635,1055,0
1640,1055,0
1645,1055,0
1680,1055,0
1685,1055,1575
1690,1055,6202
1695,1055,1362
1700,1055,0
1705,1055,0
1725,1055,0
1730,1055,1753
1735,1055,10890
1740,1055,19031
1745,1055,566
1750,1055,23
1755,1055,1206
1760,1055,43
1765,1055,0
