x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
93,124,30,4,6
93,125,34,4.2,7
93,126,31,4.9,8
93,127,6,4.8,8
94,118,6,4.7,11
94,119,13,4.5,11
94,120,15,6.1,5
94,121,98,6.1,4
94,122,2,6.3,5
94,123,16,3.7,4
94,124,33,3.8,6
94,125,32,2.3,7
94,126,47,2.9,8
94,127,22,4.7,9
95,117,0,2.1,8
95,118,36,2.2,9
95,119,21,5.4,7
95,120,55,4.4,4
95,121,113,3.6,2
95,122,31,5.6,4
95,123,50,5.1,5
95,124,49,2.1,6
95,125,172,1.3,8
95,126,70,3.2,9
95,127,25,4.4,10
96,116,20,4.7,9
96,117,43,3.7,8
96,118,38,0.4,7
96,119,17,3.5,10
96,120,166,3.3,5
96,121,98,3.9,4
96,122,72,3.4,4
96,123,55,3.5,5
96,124,61,2.3,8
96,125,541,3.1,8
96,126,39,3.8,8
96,127,4,4.7,9
97,112,0,4.7,12
97,113,14,5,12
97,114,21,5.1,12
97,115,16,4,8
97,116,28,3.3,8
97,117,3,2.8,7
97,118,54,2.4,6
97,119,51,1.7,5
97,120,20,2.4,5
97,121,62,3,5
97,122,32,2,5
97,123,77,4.3,7
97,124,52,3.7,8
97,125,55,3.6,7
97,126,42,3.6,7
97,127,54,4.1,7
98,111,7,5.1,13
98,112,13,3.8,11
98,113,61,2.5,10
98,114,41,3.9,9
98,115,37,4.6,9
98,116,13,4.5,9
98,117,7,4.8,9
98,118,60,3.7,8
98,119,45,4,8
98,120,61,1.9,6
98,121,21,2.7,6
98,122,42,3.8,7
98,123,56,4.1,7
98,124,65,3.9,6
98,125,27,4.1,6
98,126,44,3.4,4
98,127,85,4.2,5
99,107,0,4.4,14
99,108,0,3.7,14
99,109,7,3.6,13
99,110,36,4.3,12
99,111,29,4.2,12
99,112,24,4.6,12
99,113,817,1.6,11
99,114,878,3.2,12
99,115,23,6.4,15
99,116,8,7,12
99,117,15,3.8,10
99,118,1029,2.4,9
99,119,1583,2.6,8
99,120,180,0.1,8
99,121,16,2.7,7
99,122,30,3.4,8
99,123,27,3.4,8
99,124,28,4,6
99,125,58,1.9,4
99,126,419,2.7,3
99,127,409,3.6,4
100,106,5,6.2,18
100,107,47,4.3,15
100,108,9,4.9,17
100,109,39,2.9,14
100,110,21,6.3,15
100,111,48,3.7,13
100,112,42,3.1,13
100,113,669,2.9,13
100,114,993,4,15
100,115,50,3.4,13
100,116,30,4.6,11
100,117,11,3.2,10
100,118,3027,3.7,11
100,119,1080,1.5,9
100,120,253,2.6,10
100,121,35,6.1,11
100,122,42,2.3,7
100,123,92,1.8,7
100,124,16,4.1,8
100,125,383,1.4,4
100,126,2361,1.9,2
100,127,2465,3,3
101,105,26,6.9,18
101,106,22,4.5,16
101,107,189,3.3,16
101,108,979,2.3,17
101,109,43,2.4,15
101,110,21,3.3,15
101,111,13,5.6,16
101,112,19,3.2,14
101,113,52,3.6,14
101,114,26,2.4,13
101,115,27,2.4,12
101,116,6,3.3,11
101,117,28,4.1,11
101,118,95,3.8,10
101,119,26,3,11
101,120,43,2.6,10
101,121,2,4.8,10
101,122,23,3,8
