x,y,TOT_P,avg_time_nearest_h
0,94,11,52
0,95,1,41
0,96,0,40
0,102,0,60
0,104,0,67
0,107,0,69
0,108,0,69
1,95,1,44
1,96,30,40
1,97,24,44
1,102,0,55
1,105,0,69
1,107,1,69
1,109,0,60
1,112,0,60
2,95,2,43
2,96,31,40
2,97,5,41
2,127,1,21
3,96,4,40
3,97,33,38
3,98,116,40
3,101,0,62
4,97,0,40
4,98,75,38
4,99,42,36
4,106,0,39
4,107,0,39
4,114,22,59
5,98,23,37
5,99,147,36
5,100,73,36
5,103,2,40
5,106,4,35
5,108,6,33
5,111,4,35
5,120,1,25
5,121,3,23
5,122,1,23
5,126,2,17
6,99,75,36
6,100,48,33
6,101,71,35
6,102,250,34
6,103,35,36
6,104,127,34
6,105,53,35
6,106,184,32
6,107,26,33
6,108,5,32
6,109,28,28
6,110,4,27
6,112,0,31
6,120,425,21
6,121,324,19
6,122,8,21
6,123,674,20
6,124,314,20
6,125,10,19
6,126,1,19
7,100,20,34
7,101,156,32
7,102,121,32
7,103,69,34
7,104,123,33
7,105,11,34
7,106,15,32
7,107,30,27
7,108,3,31
7,109,9,27
7,110,10,27
7,111,54,23
7,112,1,28
7,119,4,20
7,120,416,18
7,121,423,19
7,122,243,19
7,123,3780,18
7,124,4543,17
7,125,7,22
7,126,8,22
7,127,7,18
8,101,27,34
8,102,5,38
8,103,15,33
8,104,31,31
8,105,30,30
8,106,47,28
8,107,89,27
8,108,96,24
8,109,143,24
8,110,5,26
8,111,2,22
8,112,2,23
8,113,0,26
8,116,0,21
8,117,0,24
8,118,2,24
8,119,11,21
8,120,397,17
8,121,527,17
8,122,34,17
8,123,1360,16
8,124,553,15
8,125,2,20
8,127,8,16
9,103,28,30
9,104,412,29
9,105,1578,27
9,106,870,26
9,107,28,30
9,108,1646,25
9,109,78,23
9,110,167,23
9,111,105,24
9,112,83,22
9,113,19,21
9,114,0,20
9,115,2,20
9,116,1,18
9,117,4,17
9,118,34,20
9,119,653,18
9,120,424,17
9,121,106,15
9,122,98,15
9,123,74,17
9,124,19,14
9,125,14,16
9,126,1,15
9,127,1,14
10,103,17,34
10,104,418,30
10,105,1078,29
10,106,623,27
10,107,34,28
10,108,183,26
10,109,49,26
10,110,1,25
10,111,1744,24
10,112,944,22
10,113,26,22
10,114,5,21
10,115,7,19
10,116,9,19
10,117,3,17
10,118,432,16
10,119,1337,16
10,120,751,14
10,121,146,13
10,122,484,14
10,123,40,15
10,124,14,14
10,125,28,15
10,126,0,13
10,127,2,13
11,103,9,37
11,104,36,31
11,105,8,30
11,106,27,29
11,107,119,27
11,108,116,26
11,109,55,27
11,110,8,30
11,111,1062,24
11,112,261,24
11,113,3,23
11,114,1,22
11,115,1,24
11,116,0,21
11,118,153,18
11,119,690,16
11,120,1822,15
11,121,1665,12
11,122,528,15
11,123,7,15
11,124,12,12
11,125,11,12
11,127,4,16
12,106,5,31
12,107,159,29
12,108,56,29
12,109,22,31
12,110,0,34
12,111,2,26
12,112,4,27
12,113,0,26
12,121,0,12
12,123,3,10
13,124,1,9
16,127,1,11
17,127,44,5
18,127,17,5
19,126,12,4
19,127,42,3
20,126,3,5
20,127,1205,2
21,125,7,7
21,126,968,4
21,127,6840,2
22,124,3,8
22,125,2523,5
22,126,6053,3
22,127,4851,2
23,124,1,9
23,125,117,5
23,126,3560,3
23,127,182,6
24,125,0,5
24,126,107,1
24,127,405,2
25,127,0,3
33,127,15,14
34,127,2,15
35,127,13,16
36,126,15,18
36,127,766,16
37,126,1,17
37,127,508,17
38,126,208,19
38,127,120,21
39,125,116,20
39,126,137,21
39,127,5,18
40,124,22,24
40,125,46,22
40,126,34,19
41,123,9,22
41,124,49,20
42,122,2,25
42,123,30,23
43,121,6,28
43,122,48,26
43,123,18,26
43,124,10,22
43,125,3,33
43,126,8,33
44,120,64,32
44,121,68,28
44,122,10,29
44,124,6,25
44,125,1,28
45,119,2,32
45,120,40,32
45,121,16,28
45,122,7,33
45,125,2,35
45,126,0,36
46,119,47,31
46,122,0,36
46,123,0,24
46,126,4,45
47,118,0,31
47,119,272,30
47,120,0,30
47,122,0,37
47,125,1,41
48,118,28,32
48,119,2,32
48,120,0,30
48,121,27,27
48,122,0,27
48,123,1,24
48,124,2,24
49,118,4,35
49,119,13,34
49,121,0,30
49,122,0,25
49,123,0,24
49,124,2,23
49,125,7,22
50,118,19,38
50,119,0,36
50,120,0,36
50,122,0,31
51,119,6,37
51,120,0,35
51,124,0,41
51,125,0,27
52,119,32,33
52,120,13,35
52,121,4,37
52,122,2,42
53,116,5,40
53,118,2,35
53,119,3,33
53,120,28,32
53,121,13,34
53,122,2,33
53,123,10,34
53,124,1,38
54,115,2,41
54,116,21,37
54,117,19,36
54,118,17,34
54,119,79,33
54,120,925,30
54,121,92,30
54,122,2,28
54,124,1,33
55,117,8,38
55,118,49,35
55,119,853,32
55,120,1436,31
55,121,7,29
55,124,3,25
55,127,5,26
56,118,26,36
56,119,7,32
56,120,2,31
56,121,0,32
56,125,55,24
56,127,4,23
57,119,0,42
57,120,0,34
57,121,1,34
57,122,0,33
57,123,1,30
57,125,4,25
57,126,0,23
57,127,29,22
58,119,3,34
58,120,0,30
58,121,4,31
58,122,0,30
58,123,0,26
58,125,6,24
58,126,81,23
58,127,25,22
59,121,6,28
59,123,3,28
59,127,4,24
