x,y,avg_time_nearest
0,0,6
0,1,7
0,4,12
0,5,13
0,6,11
0,10,8
0,11,7
0,12,8
0,13,7
0,14,8
0,15,10
0,16,7
0,17,9
0,18,10
0,19,10
0,20,11
0,21,12
0,24,16
0,27,13
0,28,11
0,29,12
0,30,12
0,31,11
0,40,11
0,41,10
0,43,10
0,44,11
0,45,13
0,46,13
0,47,14
0,48,15
0,51,16
0,53,16
0,54,15
0,56,12
0,57,13
0,58,12
0,59,14
0,64,15
0,67,14
0,70,11
0,71,11
0,72,12
0,73,14
0,74,14
0,75,13
0,76,11
0,77,12
0,79,10
0,80,13
0,81,11
0,82,10
0,83,12
0,87,13
0,88,12
0,90,13
0,91,11
0,92,13
0,93,13
0,94,14
0,95,12
0,96,12
0,97,11
0,101,12
0,102,12
0,104,12
0,105,11
0,106,15
0,107,15
0,111,11
0,112,10
0,113,8
0,114,7
0,115,6
0,116,6
0,117,5
0,120,6
0,121,6
0,122,7
0,123,8
0,126,12
0,127,12
1,0,8
1,1,7
1,2,8
1,3,9
1,8,8
1,9,7
1,10,8
1,11,6
1,12,7
1,13,6
1,14,5
1,17,8
1,19,9
1,20,11
1,21,11
1,24,14
1,27,13
1,28,12
1,29,12
1,33,9
1,40,10
1,41,9
1,42,9
1,43,10
1,44,10
1,48,12
1,49,13
1,51,15
1,54,14
1,55,14
1,56,11
1,57,11
1,58,13
1,59,14
1,61,16
1,62,17
1,63,17
1,64,16
1,65,14
1,67,14
1,69,13
1,70,13
1,71,14
1,75,12
1,76,13
1,79,10
1,80,13
1,81,12
1,82,11
1,85,14
1,87,12
1,88,10
1,90,10
1,91,12
1,92,11
1,93,11
1,96,12
1,97,13
1,99,9
1,102,11
1,103,11
1,104,11
1,105,12
1,106,17
1,107,16
1,108,14
1,109,14
1,110,13
1,115,8
1,116,6
1,124,9
1,125,13
1,126,14
1,127,12
2,0,7
2,2,9
2,3,11
2,4,13
2,5,11
2,6,10
2,10,8
2,11,7
2,12,4
2,13,5
2,14,5
2,15,5
2,16,6
2,17,10
2,18,10
2,19,10
2,20,12
2,22,17
2,28,13
2,29,12
2,33,10
2,36,12
2,38,11
2,39,8
2,40,9
2,41,8
2,42,9
2,43,13
2,47,10
2,48,12
2,49,13
2,50,15
2,52,14
2,53,13
2,54,11
2,55,12
2,56,11
2,57,10
2,61,16
2,63,17
2,64,15
2,65,16
2,67,15
2,68,14
2,70,14
2,71,14
2,72,14
2,73,14
2,74,15
2,77,12
2,78,10
2,79,14
2,80,13
2,81,12
2,82,12
2,84,12
2,87,12
2,88,11
2,89,9
2,90,9
2,91,10
2,93,10
2,94,11
2,95,10
2,96,12
2,99,10
2,101,10
2,104,11
2,105,12
2,109,13
2,110,13
2,116,8
2,117,8
2,118,8
2,120,8
2,121,8
3,2,10
3,5,14
3,8,10
3,9,8
3,13,3
3,14,4
3,18,11
3,19,11
3,20,12
3,28,14
3,30,14
3,31,12
3,32,10
3,36,10
3,38,8
3,39,8
3,40,7
3,41,8
3,42,8
3,43,8
3,44,8
3,45,9
3,46,10
3,47,10
3,48,13
3,50,15
3,51,13
3,52,14
3,53,13
3,54,11
3,55,10
3,57,10
3,58,11
3,63,16
3,64,15
3,65,16
3,66,14
3,67,16
3,68,16
3,70,16
3,71,15
3,73,14
3,74,14
3,75,13
3,77,13
3,78,11
3,79,13
3,80,13
3,81,14
3,82,13
3,84,13
3,85,13
3,86,12
3,87,12
3,90,8
3,91,9
3,93,9
3,95,10
3,98,9
3,99,8
3,101,9
3,102,8
3,104,12
3,105,13
3,108,15
3,110,13
3,111,11
3,112,12
3,117,10
3,118,9
3,119,9
3,120,9
3,121,9
3,123,13
3,124,11
4,0,10
4,1,12
4,2,11
4,4,15
4,5,12
4,9,8
4,12,6
4,13,2
4,14,6
4,15,7
4,16,7
4,20,13
4,21,13
4,22,15
4,28,16
4,29,15
4,30,13
4,36,10
4,37,10
4,38,8
4,40,7
4,41,7
4,42,6
4,43,6
4,44,7
4,45,11
4,46,10
4,47,12
4,48,13
4,49,15
4,52,13
4,53,12
4,57,8
4,58,9
4,59,10
4,66,16
4,67,16
4,69,18
4,70,17
4,73,18
4,74,16
4,75,16
4,77,13
4,78,13
4,79,14
4,80,14
4,81,15
4,82,14
4,83,15
4,84,15
4,85,13
4,86,12
4,87,10
4,88,10
4,89,10
4,90,9
4,91,8
4,93,9
4,96,9
4,97,7
4,98,8
4,99,7
4,100,7
4,101,8
4,102,9
4,103,10
4,104,13
4,106,15
4,109,14
4,110,15
4,111,14
4,112,12
4,116,10
4,117,11
4,118,12
4,119,11
4,120,11
4,123,15
4,124,12
4,125,13
5,0,10
5,1,10
5,2,12
5,3,12
5,4,14
5,5,14
5,7,10
5,8,9
5,10,9
5,11,8
5,12,5
5,13,4
5,14,6
5,15,8
5,20,13
5,21,14
5,22,15
5,29,15
5,30,14
5,32,13
5,33,12
5,36,10
5,37,9
5,38,11
5,40,5
5,41,8
5,42,3
5,43,4
5,44,6
5,45,8
5,47,13
5,49,14
5,51,11
5,52,10
5,53,10
5,55,8
5,56,7
5,60,10
5,62,14
5,64,15
5,65,17
5,66,17
5,68,18
5,69,18
5,70,18
5,72,17
