x,y,value
0,0,43265
0,1,55571
0,2,55571
0,3,52140
0,4,43657
0,5,43657
0,6,43657
0,15,50475
0,16,50475
0,17,50475
0,21,71375
0,22,71375
0,23,71375
0,25,96602
0,26,96602
0,27,96602
0,32,3999
0,33,4396
0,34,4396
0,35,4346
0,36,187048
0,37,187048
0,38,187048
0,40,778514
0,41,778514
0,42,782400
0,43,72447
0,44,72447
0,50,47114
0,51,47114
0,52,47114
0,66,389939
0,67,389939
0,68,389939
0,82,68631
0,83,68631
0,84,68631
0,95,118779
0,96,123756
0,97,123756
0,98,160000
0,99,160000
0,100,160000
0,101,157468
0,102,157258
0,103,157258
0,104,206092
0,105,252890
0,106,310896
0,107,290718
0,108,297189
0,109,254576
0,110,254576
0,111,252087
0,112,252087
0,113,278377
0,114,278377
0,115,278377
0,116,287614
0,117,287614
0,118,287614
0,124,289964
0,125,289964
0,126,289964
1,0,43265
1,1,43265
1,2,43265
1,4,43657
1,5,43657
1,6,43657
1,8,45296
1,9,45296
1,10,45296
1,15,50475
1,16,50475
1,17,50475
1,21,71375
1,22,71375
1,23,71375
1,25,96602
1,26,96602
1,27,96602
1,32,3999
1,33,4396
1,34,4396
1,35,4346
1,42,72447
1,43,72447
1,44,74137
1,45,63543
1,46,63543
1,49,46282
1,50,46282
1,51,46282
1,66,389939
1,67,389939
1,68,389939
1,82,68631
1,83,68631
1,84,68631
1,96,123207
1,97,123207
1,98,160000
1,99,160000
1,100,160000
1,101,157468
1,106,290717
1,107,290718
1,108,321879
1,109,288854
1,110,290523
1,111,252087
1,112,252087
1,124,298942
1,125,298942
1,126,298942
2,0,43265
2,1,43265
2,2,43265
2,4,43657
2,5,43657
2,6,43657
2,8,45296
2,9,49989
2,10,49989
2,11,47170
2,15,50475
2,16,50475
2,17,50475
2,21,71375
2,22,71375
2,23,71375
2,32,3999
2,33,4396
2,34,4396
2,35,4346
2,42,72447
2,43,72447
2,44,74137
2,45,63543
2,46,63543
2,49,46282
2,50,46282
2,51,46282
2,65,451662
2,66,451827
2,67,451827
2,68,389939
2,76,170858
2,77,170858
2,78,170858
2,79,72836
2,80,72836
2,81,72836
2,82,79217
2,83,79217
2,84,79217
2,96,123207
2,97,123207
2,98,160000
2,99,160000
2,100,160000
2,101,157468
2,106,290718
2,107,290718
2,108,321879
2,109,289495
2,110,289495
2,124,298942
2,125,298942
2,126,298942
2,127,297529
3,0,43301
3,8,45296
3,9,49989
3,10,49989
3,11,47170
3,31,2973
3,32,2973
3,33,2973
3,44,63543
3,45,63543
3,46,63543
3,49,46282
3,50,46282
3,51,46282
3,65,451662
3,66,789963
3,67,789963
3,68,782182
3,69,631495
3,76,170858
3,77,170858
3,78,170858
3,79,72836
3,80,72836
3,81,72836
3,82,79490
3,83,79490
3,84,79490
3,106,235137
3,107,239828
3,108,305655
3,109,289495
3,110,289495
3,111,199411
3,112,199411
3,124,232653
3,125,298942
3,126,298942
3,127,298942
4,0,43301
4,9,47170
4,10,47170
4,11,47170
4,31,2973
4,32,2973
4,33,2973
