x,y,clc
0,84,29
0,85,29
0,86,29
0,87,29
0,88,29
0,89,29
0,90,29
0,91,29
0,92,24
0,93,24
0,94,24
0,95,24
0,96,21
0,97,21
0,98,21
0,99,29
0,100,24
0,101,24
0,102,24
0,103,24
0,104,24
0,105,24
0,106,29
0,107,29
0,108,24
0,109,21
0,110,21
0,111,21
0,112,28
0,113,28
0,114,28
0,115,21
0,116,28
0,117,28
0,118,28
0,119,24
0,120,24
0,121,29
0,122,24
0,123,24
0,124,26
0,125,26
0,126,21
0,127,21
1,84,13
1,85,13
1,86,13
1,87,29
1,88,29
1,89,29
1,90,29
1,91,29
1,92,24
1,93,29
1,94,29
1,95,21
1,96,21
1,97,21
1,98,21
1,99,24
1,100,29
1,101,24
1,102,24
1,103,24
1,104,24
1,105,24
1,106,24
1,107,24
1,108,29
1,109,29
1,110,21
1,111,21
1,112,28
1,113,28
1,114,28
1,115,28
1,116,28
1,117,28
1,118,24
1,119,24
1,120,24
1,121,24
1,122,24
1,123,24
1,124,21
1,125,21
1,126,21
1,127,21
2,84,13
2,85,13
2,86,13
2,87,29
2,88,29
2,89,29
2,90,29
2,91,29
2,92,24
2,93,24
2,94,21
2,95,21
2,96,21
2,97,21
2,98,24
2,99,24
2,100,21
2,101,24
2,102,24
2,103,24
2,104,24
2,105,24
2,106,24
2,107,24
2,108,29
2,109,29
2,110,29
2,111,21
2,112,28
2,113,28
2,114,28
2,115,28
2,116,28
2,117,28
2,118,28
2,119,24
2,120,24
2,121,24
2,122,24
2,123,26
2,124,21
2,125,21
2,126,21
2,127,20
3,85,11
3,86,29
3,87,29
3,88,29
3,89,29
3,90,29
3,91,29
3,92,29
3,93,24
3,94,24
3,95,21
3,96,21
3,97,21
3,98,21
3,99,24
3,100,21
3,101,24
3,102,28
3,103,28
3,104,24
3,105,24
3,106,24
3,107,24
3,108,24
3,109,29
3,110,21
3,111,28
3,112,28
3,113,28
3,114,28
3,115,28
3,116,28
3,117,28
3,118,21
3,119,21
3,120,24
3,121,26
3,122,26
3,123,26
3,124,21
3,125,21
3,126,21
3,127,21
4,86,11
4,87,11
4,88,26
4,89,26
4,90,29
4,91,29
4,92,29
4,93,29
4,94,29
4,95,24
4,96,24
4,97,24
4,98,24
4,99,24
4,100,24
4,101,29
4,102,24
4,103,24
4,104,24
4,105,29
4,106,29
4,107,24
4,108,24
4,109,29
4,110,29
4,111,28
4,112,28
4,113,21
4,114,21
4,115,28
4,116,28
4,117,28
4,118,28
4,119,28
4,120,28
4,121,28
4,122,26
4,123,26
4,124,24
4,125,24
4,126,24
4,127,24
5,87,11
5,88,11
5,89,26
5,90,29
5,91,29
5,92,29
5,93,29
5,94,29
5,95,29
5,96,29
5,97,24
5,98,24
5,99,24
5,100,24
5,101,29
5,102,29
5,103,29
5,104,29
5,105,29
5,106,29
5,107,29
5,108,29
5,109,29
5,110,29
5,111,28
5,112,28
5,113,21
5,114,21
5,115,21
5,116,28
5,117,28
5,118,28
5,119,28
5,120,28
5,121,28
5,122,24
5,123,24
5,124,29
5,125,21
5,126,21
5,127,21
6,88,11
6,89,11
6,90,29
6,91,29
6,92,29
6,93,29
6,94,29
6,95,29
6,96,29
6,97,29
6,98,29
6,99,29
6,100,24
6,101,24
6,102,29
6,103,29
6,104,24
6,105,24
6,106,29
6,107,29
6,108,29
6,109,29
6,110,28
6,111,28
6,112,28
6,113,28
6,114,21
6,115,21
6,116,28
6,117,28
6,118,28
6,119,28
6,120,28
6,121,28
6,122,29
6,123,29
6,124,29
6,125,21
6,126,21
6,127,21
7,88,11
7,89,11
7,90,11
7,91,11
7,92,29
7,93,29
7,94,29
7,95,29
7,96,29
7,97,29
7,98,29
7,99,29
7,100,24
7,101,24
7,102,24
7,103,29
7,104,24
7,105,24
7,106,24
7,107,29
7,108,29
7,109,28
7,110,28
7,111,28
7,112,28
7,113,28
7,114,21
7,115,21
7,116,28
7,117,7
7,118,21
7,119,21
7,120,24
7,121,24
7,122,29
7,123,29
7,124,29
7,125,21
7,126,21
7,127,21
8,92,29
8,93,29
8,94,13
8,95,13
8,96,13
8,97,29
8,98,29
8,99,29
8,100,29
8,101,24
8,102,29
8,103,29
8,104,29
8,105,29
8,106,29
8,107,29
8,108,29
8,109,29
8,110,28
8,111,28
8,112,28
8,113,28
8,114,28
8,115,28
8,116,28
8,117,28
8,118,28
8,119,28
8,120,24
8,121,24
8,122,20
8,123,7
8,124,24
8,125,24
8,126,21
8,127,21
9,92,13
9,93,13
9,94,13
9,95,13
9,96,13
9,97,29
9,98,29
9,99,29
9,100,29
9,101,24
9,102,24
9,103,29
9,104,24
9,105,24
9,106,24
9,107,29
9,108,29
9,109,29
9,110,29
9,111,28
9,112,28
9,113,28
9,114,28
9,115,28
9,116,28
9,117,28
9,118,28
9,119,28
9,120,24
9,121,20
9,122,20
9,123,20
9,124,24
9,125,24
9,126,24
9,127,21
10,92,13
10,93,13
10,94,13
10,95,13
10,96,13
10,97,29
10,98,29
10,99,29
10,100,24
10,101,24
10,102,24
10,103,24
10,104,24
10,105,24
10,106,24
10,107,29
10,108,29
10,109,29
10,110,29
10,111,28
10,112,28
10,113,28
10,114,28
10,115,28
10,116,28
10,117,28
10,118,28
10,119,28
10,120,21
10,121,21
10,122,20
10,123,21
10,124,24
10,125,24
10,126,24
10,127,24
11,92,13
11,93,13
11,94,24
11,95,13
11,96,13
11,97,13
11,98,29
11,99,29
11,100,9
11,101,24
11,102,24
11,103,24
11,104,24
11,105,29
11,106,24
11,107,24
11,108,29
11,109,29
11,110,29
11,111,29
11,112,28
11,113,28
11,114,28
11,115,28
11,116,28
11,117,28
11,118,28
11,119,28
11,120,21
11,121,21
11,122,21
11,123,21
11,124,24
11,125,24
11,126,24
11,127,24
12,92,13
12,93,13
12,94,13
12,95,13
12,96,13
12,97,13
12,98,29
12,99,29
12,100,28
12,101,28
12,102,24
12,103,24
12,104,24
12,105,24
12,106,24
12,107,24
12,108,24
12,109,29
12,110,29
12,111,29
12,112,21
12,113,21
12,114,21
12,115,28
12,116,28
12,117,28
12,118,28
12,119,28
12,120,29
12,121,21
12,122,24
12,123,24
12,124,24
12,125,24
12,126,24
12,127,29
13,92,29
13,93,13
13,94,13
13,95,13
13,96,13
13,97,29
13,98,29
13,99,29
13,100,28
13,101,28
13,102,28
13,103,24
13,104,24
13,105,24
13,106,24
13,107,24
13,108,24
13,109,24
13,110,24
13,111,24
13,112,24
13,113,21
13,114,21
13,115,21
13,116,28
13,117,28
13,118,28
13,119,28
13,120,24
13,121,24
13,122,24
13,123,24
13,124,24
13,125,24
13,126,24
13,127,24
14,90,24
14,91,24
14,92,24
14,93,13
14,94,13
14,95,13
14,96,29
14,97,29
14,98,29
14,99,29
14,100,24
14,101,24
14,102,29
14,103,24
14,104,24
14,105,24
14,106,24
14,107,24
14,108,24
14,109,24
14,110,24
14,111,21
14,112,29
14,113,29
14,114,21
14,115,21
14,116,20
14,117,20
14,118,20
14,119,20
14,120,24
14,121,24
14,122,24
14,123,24
14,124,24
14,125,24
14,126,24
14,127,24
15,91,29
15,92,24
15,93,13
15,94,13
15,95,13
15,96,29
15,97,24
15,98,29
15,99,24
15,100,24
15,101,24
15,102,24
15,103,24
15,104,24
15,105,24
15,106,24
15,107,24
15,108,24
15,109,21
15,110,21
15,111,28
15,112,28
15,113,29
15,114,21
15,115,21
15,116,20
15,117,29
15,118,29
15,119,20
15,120,24
15,121,24
15,122,24
15,123,24
15,124,24
15,125,24
15,126,24
15,127,24
16,91,29
16,92,29
16,93,24
16,94,24
16,95,24
16,96,13
16,97,13
16,98,24
16,99,24
16,100,24
16,101,24
16,102,9
16,103,24
16,104,24
16,105,24
16,106,24
16,107,24
16,108,24
16,109,28
16,110,24
16,111,24
16,112,24
16,113,24
16,114,24
16,115,20
16,116,29
16,117,29
16,118,29
16,119,29
16,120,24
16,121,24
16,122,24
16,123,29
16,124,21
16,125,21
16,126,20
16,127,20
17,92,29
17,93,4
17,94,24
17,95,24
17,96,13
17,97,13
17,98,29
17,99,29
17,100,24
17,101,24
17,102,24
17,103,24
17,104,24
17,105,24
17,106,24
17,107,24
17,108,24
17,109,24
17,110,24
17,111,24
17,112,24
17,113,24
17,114,24
17,115,24
17,116,23
17,117,29
17,118,29
17,119,24
17,120,24
17,121,24
17,122,24
17,123,29
17,124,21
17,125,21
17,126,21
17,127,20
18,92,24
18,93,24
18,94,24
18,95,24
18,96,24
18,97,29
18,98,29
18,99,29
18,100,29
18,101,24
18,102,24
18,103,24
18,104,24
18,105,24
18,106,24
18,107,29
18,108,24
18,109,24
18,110,24
18,111,24
18,112,24
18,113,24
18,114,24
18,115,24
18,116,24
18,117,24
18,118,24
18,119,24
18,120,24
18,121,24
18,122,24
18,123,24
18,124,21
18,125,21
18,126,21
18,127,29
19,92,29
19,93,24
19,94,24
19,95,24
19,96,24
19,97,29
19,98,29
19,99,24
19,100,24
19,101,24
19,102,24
19,103,24
19,104,24
19,105,24
19,106,24
19,107,24
19,108,24
19,109,24
19,110,24
19,111,24
19,112,24
19,113,24
19,114,24
19,115,28
19,116,24
19,117,24
19,118,24
19,119,24
19,120,24
19,121,29
19,122,29
19,123,24
19,124,21
19,125,21
19,126,21
19,127,29
20,89,29
20,90,29
20,91,29
20,92,24
20,93,24
20,94,29
20,95,28
20,96,24
20,97,24
20,98,24
20,99,29
20,100,21
20,101,24
20,102,24
20,103,21
20,104,21
20,105,29
20,106,29
20,107,24
20,108,24
20,109,24
20,110,24
20,111,24
20,112,24
20,113,24
20,114,24
20,115,28
20,116,28
20,117,28
20,118,24
20,119,24
20,120,24
20,121,24
20,122,24
20,123,16
20,124,29
20,125,29
20,126,29
20,127,29
21,90,29
21,91,29
21,92,29
21,93,29
21,94,28
21,95,28
21,96,24
21,97,29
21,98,24
21,99,24
21,100,24
21,101,24
21,102,24
21,103,24
21,104,24
21,105,29
21,106,29
21,107,24
21,108,24
21,109,24
21,110,24
21,111,24
21,112,24
21,113,24
21,114,24
21,115,24
21,116,28
21,117,24
21,118,24
21,119,24
21,120,24
21,121,24
21,122,16
21,123,16
21,124,16
21,125,29
21,126,29
21,127,24
22,92,29
22,93,29
22,94,28
22,95,28
22,96,24
22,97,29
22,98,29
22,99,24
22,100,24
22,101,24
22,102,24
22,103,24
22,104,24
22,105,29
22,106,29
22,107,29
22,108,24
22,109,24
22,110,24
22,111,24
22,112,24
22,113,24
22,114,24
22,115,24
22,116,21
22,117,24
22,118,24
22,119,21
22,120,24
22,121,24
22,122,24
22,123,24
22,124,16
22,125,28
22,126,28
22,127,24
23,93,29
23,94,29
23,95,28
23,96,24
23,97,29
23,98,29
23,99,4
23,100,24
23,101,24
23,102,24
23,103,24
23,104,24
23,105,29
23,106,29
23,107,29
23,108,29
23,109,29
23,110,24
23,111,24
23,112,29
23,113,29
23,114,24
23,115,24
23,116,21
23,117,24
23,118,24
23,119,21
23,120,24
23,121,29
23,122,29
23,123,29
23,124,29
23,125,28
23,126,28
23,127,28
24,96,29
24,97,29
24,98,29
24,99,24
24,100,29
24,101,24
24,102,24
24,103,24
24,104,24
24,105,29
24,106,29
24,107,24
24,108,29
24,109,29
24,110,29
24,111,24
24,112,24
24,113,29
24,114,24
24,115,24
24,116,29
24,117,24
24,118,24
24,119,24
24,120,24
24,121,29
24,122,29
24,123,29
24,124,29
24,125,29
24,126,29
24,127,29
25,96,24
25,97,24
25,98,13
25,99,13
25,100,29
25,101,29
25,102,24
25,103,24
25,104,24
25,105,24
25,106,29
25,107,24
25,108,24
25,109,24
25,110,24
25,111,24
25,112,29
25,113,29
25,114,29
25,115,7
25,116,29
25,117,24
25,118,24
25,119,24
25,120,24
25,121,29
25,122,29
25,123,29
25,124,29
25,125,29
25,126,29
25,127,29
26,96,24
26,97,24
26,98,11
26,99,21
26,100,4
26,101,4
26,102,24
26,103,24
26,104,24
26,105,21
26,106,21
26,107,21
26,108,24
26,109,24
26,110,21
26,111,29
26,112,29
26,113,29
26,114,29
26,115,29
26,116,29
26,117,29
26,118,24
26,119,24
26,120,26
26,121,29
26,122,29
26,123,29
26,124,29
26,125,29
26,126,29
26,127,29
27,98,11
27,99,29
27,100,4
27,101,29
27,102,29
27,103,29
27,104,24
27,105,21
27,106,21
27,107,21
27,108,21
27,109,21
27,110,29
27,111,29
27,112,29
27,113,29
27,114,29
27,115,29
27,116,24
27,117,29
27,118,29
27,119,24
27,120,26
27,121,29
27,122,29
27,123,29
27,124,29
27,125,29
27,126,29
27,127,21
28,99,13
28,100,29
28,101,29
28,102,29
28,103,29
