x,y,elevation
0,0,104
0,1,101
0,2,99
0,3,94
0,4,85
0,5,77
0,6,74
0,7,82
0,8,80
0,9,77
0,10,79
0,11,83
0,12,89
0,13,93
0,14,91
0,15,89
0,16,87
0,17,87
0,18,83
0,19,82
0,20,82
0,21,82
0,22,79
0,23,75
0,24,79
0,25,79
0,26,74
0,27,74
0,28,85
0,29,87
0,30,82
0,31,80
0,32,88
0,33,101
0,34,108
0,35,101
0,36,76
0,37,72
0,38,71
0,39,64
0,40,53
0,41,59
0,42,54
0,43,47
0,44,44
0,45,37
0,46,36
0,47,36
0,48,35
0,49,35
0,50,36
0,51,44
0,52,74
0,53,76
0,54,76
0,55,69
0,56,61
0,57,79
0,58,80
0,59,77
0,60,66
0,61,67
0,62,57
0,63,45
0,64,43
0,65,50
0,66,64
0,67,81
0,68,78
0,69,72
0,70,66
0,71,66
0,72,79
0,73,68
0,74,64
0,75,66
0,76,61
0,77,64
0,78,68
0,79,79
0,80,81
0,81,78
0,82,84
0,83,93
0,84,89
0,85,88
0,86,95
0,87,109
0,88,112
0,89,107
0,90,104
0,91,76
0,92,58
0,93,54
0,94,50
0,95,46
0,96,45
0,97,41
0,98,38
0,99,38
0,100,39
0,101,40
0,102,41
0,103,46
0,104,46
0,105,42
0,106,41
0,107,43
0,108,48
0,109,51
0,110,53
0,111,55
0,112,58
0,113,56
0,114,52
0,115,51
0,116,52
0,117,53
0,118,58
0,119,71
0,120,76
0,121,78
0,122,86
0,123,103
0,124,97
0,125,83
0,126,101
0,127,117
1,0,93
1,1,94
1,2,93
1,3,90
1,4,83
1,5,75
1,6,74
1,7,78
1,8,80
1,9,79
1,10,81
1,11,82
1,12,90
1,13,92
1,14,90
1,15,88
1,16,88
1,17,87
1,18,85
1,19,84
1,20,83
1,21,82
1,22,83
1,23,83
1,24,83
1,25,83
1,26,81
1,27,80
1,28,85
1,29,91
1,30,88
1,31,88
1,32,100
1,33,108
1,34,108
1,35,106
1,36,79
1,37,71
1,38,68
1,39,64
1,40,52
1,41,47
1,42,46
1,43,40
1,44,37
1,45,36
1,46,36
1,47,37
1,48,38
1,49,37
1,50,37
1,51,54
1,52,77
1,53,84
1,54,82
1,55,68
1,56,61
1,57,70
1,58,72
1,59,67
1,60,66
1,61,67
1,62,57
1,63,47
1,64,44
1,65,50
1,66,72
1,67,84
1,68,90
1,69,85
1,70,75
1,71,69
1,72,82
1,73,80
1,74,75
1,75,74
1,76,68
1,77,64
1,78,67
1,79,72
1,80,72
1,81,74
1,82,80
1,83,92
1,84,94
1,85,94
1,86,94
1,87,99
1,88,104
1,89,106
1,90,98
1,91,72
1,92,54
1,93,52
1,94,51
1,95,47
1,96,44
1,97,41
1,98,40
1,99,42
1,100,40
1,101,39
1,102,40
1,103,43
1,104,45
1,105,42
1,106,41
1,107,42
1,108,45
1,109,48
1,110,48
1,111,49
1,112,55
1,113,57
1,114,53
1,115,51
1,116,52
1,117,53
1,118,54
1,119,58
1,120,64
1,121,75
1,122,83
1,123,96
1,124,106
1,125,95
1,126,94
1,127,115
2,0,88
2,1,90
2,2,90
2,3,85
2,4,77
2,5,74
2,6,75
2,7,75
2,8,82
2,9,83
2,10,85
2,11,85
2,12,89
2,13,88
2,14,87
2,15,88
2,16,86
2,17,86
2,18,84
2,19,83
2,20,83
2,21,84
2,22,87
2,23,92
2,24,92
2,25,89
2,26,87
2,27,87
2,28,84
2,29,84
2,30,89
2,31,96
2,32,108
2,33,111
2,34,100
2,35,93
2,36,72
2,37,68
2,38,69
2,39,62
2,40,54
2,41,49
2,42,42
2,43,38
2,44,36
2,45,36
2,46,37
2,47,37
2,48,38
2,49,39
2,50,45
2,51,54
2,52,65
2,53,76
2,54,81
2,55,73
2,56,64
2,57,58
2,58,69
2,59,68
2,60,67
2,61,66
2,62,62
2,63,51
2,64,47
2,65,51
2,66,67
2,67,82
2,68,99
2,69,89
2,70,75
2,71,71
2,72,84
2,73,86
2,74,84
2,75,80
2,76,73
2,77,70
2,78,71
2,79,77
2,80,76
2,81,81
2,82,79
2,83,82
2,84,93
2,85,96
2,86,97
2,87,98
2,88,96
2,89,93
2,90,80
2,91,67
2,92,55
2,93,52
2,94,51
2,95,47
2,96,44
2,97,44
2,98,41
2,99,41
2,100,41
2,101,39
2,102,39
2,103,41
2,104,44
2,105,42
2,106,41
2,107,42
2,108,45
2,109,47
2,110,48
2,111,49
2,112,52
2,113,58
2,114,55
2,115,51
2,116,52
2,117,52
2,118,53
2,119,54
2,120,60
2,121,69
2,122,82
2,123,100
2,124,104
2,125,102
2,126,97
2,127,111
3,0,88
3,1,89
3,2,88
3,3,77
3,4,75
3,5,76
3,6,77
3,7,78
3,8,79
3,9,80
3,10,83
3,11,88
3,12,88
