x,y,dlt,tcd
0,107,,136
0,108,,54
0,109,,14
0,111,,39
0,112,,169
1,106,,249
1,107,,130
1,108,,45
1,109,,24
1,111,,142
2,106,,228
2,110,,132
2,111,,214
2,126,,216
2,127,,110
3,105,,227
3,106,,58
3,108,,127
3,109,,237
3,110,,253
3,117,,191
3,118,,181
3,119,,181
3,120,,230
3,124,,241
3,125,,92
3,126,,23
4,105,,221
4,106,,44
4,107,,24
4,108,,219
4,116,,254
4,117,,34
4,119,,2
4,120,,171
4,121,,252
4,122,,252
4,123,,252
4,124,,101
4,126,,13
4,127,,28
5,106,,238
5,107,,114
5,108,,234
5,116,,126
5,117,,21
5,118,,94
5,119,,246
5,120,,251
5,121,,94
5,122,,24
5,123,,11
5,124,,4
5,125,,38
5,126,,51
5,127,1,74
6,115,,231
6,116,,140
6,117,,202
6,121,,183
6,122,,21
6,123,,8
6,124,,48
6,125,,32
6,126,,62
6,127,,17
7,121,,157
7,122,,24
7,123,2,20
7,124,,19
7,125,1,42
7,126,1,49
7,127,1,25
8,111,,228
8,112,,254
8,121,,157
8,122,,34
8,123,,67
8,124,,60
8,125,1,65
8,126,1,23
8,127,,6
9,108,,230
9,109,,193
9,110,,226
9,111,,139
9,112,,253
9,120,,251
9,121,,73
9,122,,3
9,123,,50
9,124,,40
9,125,,66
9,126,,16
9,127,2,11
10,108,,250
10,109,,242
10,110,,101
10,111,,186
10,120,,208
10,121,,15
10,123,,11
10,124,,61
10,125,,63
10,126,,28
10,127,,2
11,118,,164
11,119,,247
11,120,,86
11,121,,24
11,122,,32
11,123,2,12
11,124,,52
11,125,,14
11,127,,28
12,107,,170
12,108,,119
12,118,,251
12,119,,205
12,120,,113
12,121,,63
12,122,,43
12,124,,1
12,125,1,19
12,126,1,8
12,127,,9
13,107,,228
13,108,,245
13,118,,152
13,119,,80
13,120,,78
13,122,,37
13,123,1,2
13,124,,37
13,125,,4
13,126,,38
13,127,,7
14,117,,164
14,118,,62
14,119,,61
14,120,,116
14,121,,105
14,122,,74
14,123,,21
14,124,,8
14,125,1,60
14,126,,16
14,127,,26
15,115,,206
15,116,1,69
15,117,,14
15,119,,165
15,120,,113
15,121,,158
15,122,,31
15,123,,30
15,124,,33
15,125,1,36
15,126,,59
15,127,,34
16,115,,61
16,116,1,62
16,117,1,44
16,119,,186
16,120,,248
16,121,,48
16,122,,35
16,123,,17
16,124,,8
16,125,,19
16,126,,13
16,127,,18
17,115,,89
17,116,,7
17,117,,29
17,118,,20
17,119,,124
17,120,,37
17,121,,78
17,122,,51
17,124,,50
17,125,,46
17,126,,34
17,127,,5
18,115,,218
18,116,1,
18,117,,24
18,118,,86
18,119,,146
18,120,,142
18,121,,56
18,122,,37
18,124,,55
18,125,,35
18,126,,3
18,127,1,
19,115,,221
19,116,,22
19,117,,42
19,118,,10
19,119,,192
19,120,,200
19,121,,171
19,122,,48
19,124,,38
19,126,,44
20,114,,254
20,115,,218
20,116,,48
20,117,,10
20,119,,84
20,120,,89
20,121,,54
20,122,,6
20,123,,30
20,124,,9
20,125,,22
20,126,,26
20,127,,18
21,114,,187
21,115,,28
21,116,,47
21,117,,34
21,118,1,
21,119,1,20
21,123,,14
21,124,,21
21,125,,38
21,126,1,28
21,127,1,29
22,115,,174
22,116,,35
22,117,,3
22,118,,4
22,119,,15
22,121,,24
22,122,,16
22,123,,10
22,124,,16
22,125,1,35
22,126,1,1
22,127,1,
23,115,,85
23,116,,21
23,117,,17
23,118,,22
23,119,,26
23,121,,31
23,122,1,20
23,123,,15
23,124,,12
23,125,1,57
23,126,,31
24,69,,245
24,70,,211
24,71,,148
24,102,,229
24,103,,120
24,106,,250
24,107,,211
24,108,,247
24,115,,187
24,117,,51
24,118,,26
24,119,,26
24,120,,47
24,121,,39
24,122,,10
24,123,,36
24,124,1,24
24,125,1,59
24,126,,49
24,127,1,28
25,69,,120
25,70,,16
25,71,,153
25,102,,106
25,103,,78
25,106,,228
25,108,,210
25,115,,131
25,117,,7
25,118,,14
25,119,,27
25,122,,23
25,123,1,22
25,124,,32
25,126,1,42
25,127,1,35
26,68,,140
26,69,,50
26,70,,10
26,71,,119
26,101,,162
26,102,,11
26,103,,8
26,104,,27
26,105,,27
26,106,1,41
26,107,,25
26,108,,67
26,114,,227
26,115,,41
26,116,,11
26,117,,3
26,119,,39
26,120,,13
26,122,,5
26,123,1,12
26,124,,14
26,126,,3
26,127,,39
27,68,,127
27,69,,46
27,70,,102
27,71,,249
27,101,,63
27,106,1,24
27,107,2,35
27,108,1,48
27,109,,184
27,110,,213
27,111,,196
27,112,,155
27,113,,245
27,114,,57
27,116,,38
27,117,,10
27,120,,21
27,121,,36
27,122,,6
27,123,,42
27,124,,28
27,125,,23
27,126,,31
28,67,,243
28,68,,84
28,69,,134
28,70,,252
28,88,,200
28,100,,130
28,101,,2
28,104,,29
28,106,,24
28,107,,1
28,108,,37
28,109,,93
28,110,,179
28,111,,4
28,112,,28
28,113,,12
28,115,,4
28,116,,14
28,117,,42
28,121,,2
28,122,1,28
28,123,,15
28,124,,18
28,125,,32
28,126,,43
28,127,1,27
29,67,,244
29,68,,177
29,69,,244
29,88,,205
29,100,,216
29,101,,24
29,102,,1
29,103,,3
29,104,,20
29,105,,1
29,106,,9
29,107,,29
29,110,,50
29,112,,27
29,113,,6
29,115,,4
29,116,,35
29,117,,19
29,118,,2
29,120,,1
29,121,1,50
29,122,1,18
29,123,1,68
29,124,,28
29,125,,32
29,126,,2
29,127,,14
30,85,,187
30,101,,40
30,102,,10
30,103,,38
30,104,,11
30,105,1,33
30,106,,39
30,107,,20
30,111,,21
30,112,,65
30,113,,10
30,115,1,6
30,116,,37
30,117,,4
30,118,,22
30,119,,2
30,121,1,
30,122,1,2
30,123,,11
30,126,,51
30,127,,47
31,83,,234
31,84,,138
31,85,,21
31,86,,57
31,87,,244
31,99,,204
31,100,,57
31,101,,27
31,102,,37
31,103,,19
31,104,,10
31,105,,10
31,106,,30
31,107,,5
31,110,,47
31,111,,64
31,112,,56
31,113,,14
31,114,,4
31,115,,2
31,116,,9
31,117,,2
31,119,,5
31,122,,1
31,123,,6
31,124,,41
31,125,,34
31,126,,22
31,127,,49
32,83,,78
32,86,,2
32,87,,241
32,98,,201
32,99,,32
32,100,,32
32,101,,5
32,102,,25
32,103,,67
32,104,1,40
32,105,,13
32,106,,15
32,107,1,36
32,108,,7
32,109,,16
32,110,,11
32,111,1,41
32,112,,1
32,114,,15
32,115,,39
32,116,,20
32,117,,25
32,118,,28
32,119,,22
32,120,,21
32,121,,15
32,122,,10
32,123,1,
32,124,,14
32,125,,72
32,126,,16
32,127,1,38
33,82,,232
33,83,,51
33,84,,27
33,85,,8
33,86,,128
33,87,,253
33,92,,220
33,98,,168
33,99,,19
33,100,,10
33,101,,32
33,102,,7
33,103,,26
33,104,,64
33,105,1,58
33,106,,22
33,107,1,57
33,108,1,42
33,109,,44
33,110,,10
33,111,,12
33,113,,3
33,114,,46
33,115,,23
33,116,,15
33,117,,7
33,118,,36
33,119,,42
33,120,,7
33,121,,32
33,122,,13
33,123,,26
33,124,,60
33,125,,32
33,126,1,14
33,127,,36
34,81,,152
34,82,,62
34,83,,130
34,84,,200
34,85,,163
34,86,,210
34,92,,81
34,93,,188
34,98,,166
34,99,,29
34,100,,20
34,101,,32
34,102,,36
34,103,,9
34,104,,8
34,107,1,18
34,108,1,36
34,109,,18
34,110,,3
34,113,,33
34,114,,32
34,115,,37
34,116,,32
34,117,,4
34,118,,16
34,119,,1
34,122,,20
34,123,,13
34,124,,28
34,125,1,18
34,126,1,11
34,127,,37
35,73,,226
35,74,,72
35,75,,17
35,76,,164
35,77,,199
35,78,,34
35,79,,17
35,80,,60
35,81,,19
35,82,,32
35,83,,216
35,91,,144
35,92,,5
35,93,,9
35,94,,232
35,98,,250
35,99,,53
35,100,,35
35,101,,12
35,102,,23
35,103,,2
35,107,,2
35,108,,4
35,109,1,27
35,110,,49
35,111,,12
35,113,,37
35,114,,4
35,115,,24
35,116,,28
35,117,,12
35,118,,11
35,119,,24
35,120,,13
35,121,,44
35,122,,36
35,124,,13
35,125,,40
35,126,,39
35,127,,2
36,72,,249
36,73,,55
36,74,,16
36,76,,15
36,77,,23
36,78,,2
36,79,,102
36,80,,167
36,81,,167
36,82,,204
36,91,,135
36,93,,89
36,94,,246
36,99,,162
36,100,,12
36,101,,3
36,107,,1
36,108,,40
36,109,,46
36,110,,36
36,112,,23
36,113,,29
36,115,,50
36,117,,45
36,118,,13
36,119,,1
36,120,,14
36,121,,16
36,123,,24
36,124,,23
36,125,,15
36,126,,2
37,71,,226
37,72,,68
37,73,,16
37,80,,189
37,90,,233
37,91,,23
37,92,,3
37,93,,9
37,94,,157
37,95,,159
37,96,,159
37,97,,159
37,98,,159
37,99,,136
37,107,,25
37,108,,9
37,109,,15
37,110,,3
37,111,,16
37,112,,21
37,114,,20
37,115,,47
37,116,,15
37,117,,29
37,118,,36
37,119,,18
37,121,,20
37,122,,20
37,123,,37
37,124,,10
37,125,,42
37,126,,22
38,69,,250
38,70,,231
38,71,,66
38,72,,20
38,80,,23
38,81,,199
38,83,,239
38,90,,108
38,92,,4
38,93,,34
38,94,,30
38,95,,39
38,96,,17
38,97,,14
38,98,,9
38,99,,5
38,105,,20
38,106,,52
38,109,,14
38,110,,2
38,111,,45
38,112,1,53
38,113,,32
38,115,,3
38,116,,11
38,117,,34
38,118,,12
38,119,,28
38,120,,18
38,121,,33
38,122,,8
38,123,,62
38,124,,15
38,125,,32
38,126,,16
38,127,,29
39,69,,124
39,71,,22
39,81,,98
39,82,,139
39,83,,67
39,89,,210
39,90,,46
39,91,1,
39,92,,28
39,93,,16
39,94,,18
39,96,,26
39,97,,13
39,98,,15
39,99,,31
39,107,,19
39,108,,7
39,109,1,19
39,110,,3
39,111,,30
39,112,1,61
39,113,,8
39,114,1,13
39,115,,6
39,118,1,19
39,119,,20
39,122,,26
39,123,,16
39,125,1,21
39,126,,4
40,66,,236
40,67,,82
40,68,,47
40,69,,8
40,70,,3
40,71,,31
40,72,,14
40,77,,7
40,78,,4
40,79,,4
40,83,,7
40,84,,47
40,85,,198
40,88,,225
40,89,,135
40,90,,21
40,91,,20
40,92,,31
40,93,,15
40,94,,4
40,95,,5
40,96,,22
40,97,,15
40,99,,10
40,101,,8
40,103,,10
40,104,,4
40,106,,33
40,107,,33
40,108,,56
40,109,,33
40,110,,19
40,111,,33
40,112,,85
40,113,,25
40,114,,26
40,115,,21
40,117,,3
40,118,,44
40,119,,11
40,120,,6
40,121,,58
40,122,,36
40,123,1,6
41,65,,246
41,66,,68
41,68,1,
41,69,,5
41,70,,9
41,71,,25
41,77,,39
41,78,1,14
41,79,,10
41,85,,57
41,87,,213
41,88,,40
41,89,,14
41,90,1,32
41,91,1,
41,92,,20
41,94,,10
41,95,,34
41,96,,20
41,97,,26
41,98,,16
41,101,,21
41,103,,27
41,104,,32
41,105,,13
41,106,,35
41,107,,13
41,108,,31
41,109,,17
41,111,,15
41,112,,37
41,113,,41
41,114,,12
41,115,,29
41,117,,8
41,118,1,59
41,119,1,4
41,120,,13
41,121,,13
41,122,,56
41,123,,19
41,124,,31
41,125,,22
41,126,,27
41,127,1,28
42,63,,214
42,64,,134
42,65,,25
42,69,,12
42,73,,6
42,74,,4
42,77,,4
42,78,,1
42,79,1,
42,85,,6
42,86,,26
42,87,,18
42,88,,25
42,90,,4
42,94,,26
42,95,,4
42,96,,4
42,97,,5
42,98,,3
42,102,,11
42,103,,1
42,104,,4
42,105,,11
42,106,,12
42,108,,4
42,109,1,
42,110,,13
42,111,,13
42,113,,6
42,114,,16
42,115,,8
42,117,,28
42,118,,45
42,119,,18
42,120,,6
42,121,1,5
42,122,,13
42,123,,39
42,124,,22
42,125,,13
42,126,,40
42,127,1,44
43,62,,113
43,63,,37
43,69,,18
43,73,,9
43,74,,6
43,76,,24
43,89,1,
43,95,,27
43,96,,13
43,97,,10
43,101,,9
43,102,,33
43,103,,2
43,105,,12
43,106,,8
43,110,1,32
43,111,,32
43,117,,7
43,118,,37
43,119,,57
43,120,,38
43,121,1,24
43,122,1,16
43,123,,34
43,124,,32
43,125,,39
43,126,,50
43,127,,11
44,54,,205
44,55,,169
44,56,,169
44,57,,178
44,58,,188
44,59,,196
44,60,,144
44,61,,16
44,62,,2
44,65,,2
44,66,,34
44,67,,11
44,68,,17
44,69,,2
44,73,,6
44,74,,4
44,76,,7
44,77,,36
44,78,,3
44,86,,16
44,87,,2
44,89,,19
44,90,,15
44,91,,11
44,92,,27
44,93,,19
44,94,,9
44,95,,22
44,96,,1
44,97,,3
44,98,,26
44,102,,1
44,104,,18
44,105,,7
44,106,,5
44,107,,13
44,108,,39
44,110,,34
44,111,,1
44,112,,29
44,113,,41
44,114,,59
44,115,,11
44,117,,17
44,118,,1
44,119,,8
44,120,,29
44,121,,58
44,122,,7
44,123,,12
44,124,,19
44,125,1,36
44,126,,18
45,54,,107
45,57,,8
45,58,,60
45,59,,48
45,60,,7
45,61,,34
45,62,,9
45,65,,3
45,67,,2
45,68,,25
45,69,,5
45,71,,1
45,72,,2
45,73,,28
45,74,,4
45,75,,2
45,76,,34
45,77,,31
45,78,,26
45,85,,1
45,86,,15
45,87,,4
45,90,,5
45,91,,11
45,92,,2
45,93,,42
45,94,,35
45,95,,21
45,96,,3
45,98,,20
45,99,,9
45,102,,2
45,104,,16
45,105,,26
45,106,,20
45,107,,35
45,108,,13
45,109,,19
45,110,,4
45,111,,2
45,112,,30
45,113,,18
45,114,,19
45,115,,20
45,116,,25
45,117,,17
45,118,1,2
45,119,,6
45,120,,25
45,121,1,53
45,122,,7
45,123,,10
45,124,,46
45,125,,31
45,126,,20
46,53,,169
46,54,,73
46,58,,21
46,59,,19
46,60,,27
46,61,,26
46,62,,32
46,65,,29
46,66,,13
46,67,,7
46,71,,15
46,72,,32
46,73,,24
46,75,,25
46,76,,9
46,78,,26
46,79,,36
46,80,,1
46,85,,12
46,86,,23
46,87,,22
46,88,,19
46,90,,50
46,91,,12
46,94,,13
46,95,,19
46,96,,29
46,97,,3
46,98,,26
46,102,,18
46,103,,2
46,106,,44
46,108,,5
46,109,,12
46,110,,31
46,111,,16
46,112,,22
46,113,,47
46,115,1,42
46,116,,65
46,117,,16
46,118,1,16
46,120,,15
46,121,1,17
46,122,1,11
46,124,,26
46,126,,21
47,51,,250
47,52,,143
47,53,,20
47,54,,6
47,55,,15
47,56,,16
47,58,,34
47,59,,20
47,60,,36
47,63,,6
47,64,,25
47,66,,7
47,67,,4
47,71,,10
47,72,,28
47,73,1,5
47,76,,7
47,77,,23
47,78,,15
47,79,,23
47,82,,5
47,83,,3
47,85,,15
47,86,,29
47,87,,3
47,88,,16
47,90,,45
47,91,,33
47,92,,10
47,93,,5
47,94,,1
47,100,,24
47,101,,14
47,102,,43
47,103,,22
47,104,,51
47,105,,4
47,106,,11
47,108,,3
47,109,,10
47,110,,13
47,111,,3
47,112,,30
47,113,1,20
47,115,,8
47,116,,33
47,117,,4
47,118,,4
47,119,,17
47,120,,53
47,121,1,17
47,122,,18
47,123,,28
47,124,,17
47,125,,10
47,126,,29
48,51,,138
48,52,,33
48,53,,38
48,56,,25
48,60,,14
48,63,1,23
48,64,,7
48,65,,6
48,66,,11
48,67,,10
48,68,,16
48,70,,20
48,71,,11
48,72,,67
48,73,,17
48,75,,16
48,76,,26
48,77,,45
48,78,,8
48,79,,25
48,80,,18
48,82,,19
48,83,,9
48,87,,20
48,88,,32
48,90,,5
48,91,,24
48,93,,19
48,94,,3
48,100,,18
48,101,,5
48,103,,46
48,104,,27
48,105,1,13
48,106,1,9
48,108,,15
48,109,,14
48,110,,10
48,111,,11
48,112,1,42
48,113,,14
48,117,,9
48,118,,16
48,121,1,14
48,122,,36
48,123,,23
48,124,,64
48,125,,77
48,126,,8
48,127,,22
49,50,1,169
49,51,,13
49,52,,26
49,53,,21
49,54,,12
49,56,,7
49,59,1,32
49,60,,12
49,62,,10
49,64,,2
49,65,,2
49,66,,12
49,67,,8
49,68,,11
49,69,,5
49,70,,12
49,71,,11
49,72,,31
49,73,,23
49,74,,5
49,75,,22
49,76,,7
49,77,,7
49,78,,1
49,79,,3
49,80,,27
49,81,,3
49,83,,2
49,84,,6
49,85,,36
49,86,,13
49,87,,3
49,88,,10
49,89,,11
49,90,,8
49,91,,11
49,92,,4
49,93,,28
49,94,,4
49,96,,19
49,97,,16
49,98,,6
49,99,,3
49,101,,32
49,102,1,21
49,103,,12
49,104,,4
49,106,,36
49,107,,27
49,108,,34
49,109,,7
49,110,,24
49,111,1,61
49,112,,18
49,113,,37
49,114,,34
49,115,,14
49,119,,3
49,120,,3
49,121,,11
49,122,,9
49,123,,10
49,124,,9
49,125,,27
