x,y,2018,2006,2011
88,88,27,27,28
88,89,1134,1034,1139
88,110,810,659,752
88,111,241,218,229
88,112,161,155,158
88,113,399,339,360
88,114,3,5,5
88,115,358,289,312
88,116,18,17,18
88,90,1158,946,1064
88,117,1381,1270,1373
88,118,205,41,215
88,91,166,141,159
88,119,127,129,133
88,92,715,471,527
88,93,163,140,157
88,94,56,50,57
88,95,21,17,21
88,97,877,109,165
88,98,4547,2632,3620
88,10,62,77,78
88,99,1522,455,668
88,11,888,933,924
88,13,117,126,131
88,14,302,320,329
88,15,236,228,227
88,16,499,545,538
88,17,98,78,83
88,18,103,118,114
88,19,317,335,331
88,120,6,7,7
88,121,6,6,6
88,0,679,752,733
88,1,510,610,601
88,122,147,153,153
88,2,237,98,99
88,123,163,200,193
88,124,64,79,84
88,125,19,21,24
88,4,6,0,0
88,5,85,80,89
88,126,9,14,12
88,6,276,286,289
88,7,4654,4682,4771
88,8,1452,1471,1496
88,9,386,374,387
88,20,165,185,172
88,22,478,404,435
88,23,152,160,151
88,24,181,172,181
88,25,94,96,96
88,26,495,493,507
88,29,104,69,69
88,31,326,295,287
88,32,142,0,0
88,33,309,304,292
88,34,226,226,227
88,36,36,40,42
88,37,284,228,230
88,38,150,184,177
88,39,296,342,349
88,40,212,230,223
88,41,142,138,138
88,42,1541,1518,1567
88,43,13,13,13
88,45,137,114,110
88,47,4,4,4
88,48,117,125,127
88,49,176,195,187
88,50,119,97,94
88,51,85,90,90
88,52,243,261,257
88,53,185,159,196
88,54,2,2,2
88,55,2590,2682,2679
88,56,178,175,188
88,57,127,125,134
88,58,336,334,352
88,59,3,4,3
88,60,23,27,24
88,61,350,301,289
88,62,27,27,27
88,63,209,161,153
88,64,2,0,2
88,66,161,170,181
88,67,107,88,90
88,68,9,12,10
88,69,160,162,182
88,70,613,681,647
88,71,339,363,361
88,72,39,45,42
88,73,86,88,83
88,74,79,49,54
88,75,748,814,809
88,76,196,210,211
88,77,44,11,39
88,78,58,60,61
88,79,387,377,394
88,100,8645,4702,6273
88,101,6138,6770,6404
88,102,5374,5781,5616
88,103,2015,2063,2098
88,104,3815,4056,3985
88,105,1416,1454,1466
88,106,1514,1367,1508
88,80,133,139,139
88,107,1173,1005,1104
88,108,474,372,405
88,81,197,206,211
88,109,13,12,13
88,82,429,422,427
88,83,11,7,12
88,84,668,635,679
88,85,235,152,177
88,86,536,510,540
88,87,463,517,483
89,88,99,101,108
89,89,193,206,227
89,113,47,42,48
89,115,285,187,180
89,116,167,61,65
89,117,425,248,259
89,90,206,115,133
89,118,247,216,232
89,91,654,447,521
89,119,471,468,485
89,92,3576,2717,3117
89,93,4658,4108,4219
89,94,730,601,699
89,95,2735,2642,2773
89,96,868,782,839
89,97,1086,672,866
89,10,363,337,349
89,98,2116,1021,1265
89,99,5115,4482,4869
89,11,23,5,5
89,13,264,302,296
89,14,220,216,219
89,15,102,111,112
89,16,3,3,3
89,17,13,16,14
89,18,460,438,453
89,120,197,197,206
89,121,163,141,157
89,0,219,233,234
89,1,92,102,104
89,122,69,72,75
89,123,206,213,209
89,124,36,28,27
89,125,126,130,132
89,4,609,686,658
89,126,39,25,25
89,5,6251,6491,6580
89,127,437,203,215
89,6,7265,7567,7708
89,7,1,0,0
89,8,424,413,409
89,9,462,421,443
89,20,4,5,5
89,21,157,172,176
89,22,424,464,464
89,23,203,245,228
89,25,75,63,63
89,27,344,317,324
89,28,241,238,271
89,29,471,528,480
89,30,130,57,63
89,31,562,397,413
89,32,343,353,359
89,33,3,3,3
89,34,501,526,508
89,36,165,179,192
89,38,1746,1247,1206
89,39,2181,1752,1711
89,40,195,201,212
89,41,191,179,178
89,42,240,227,225
89,43,129,152,137
89,44,160,178,172
89,45,409,411,394
89,47,77,85,82
89,50,159,159,165
89,51,5,12,5
89,52,2,2,2
89,53,9,7,9
89,55,68,90,72
89,56,43,44,44
89,57,78,74,68
89,58,57,57,61
89,61,108,118,115
89,62,163,24,172
89,63,3841,4003,3965
89,64,201,223,211
89,65,2,66,60
89,66,466,402,411
89,67,15,12,16
89,68,1,12,1
89,69,1058,1110,1115
89,72,950,976,971
89,73,190,181,183
89,74,22,24,24
89,75,15,13,16
89,76,113,105,109
89,77,190,196,200
89,78,20,21,21
89,79,210,220,209
89,100,2163,2130,2046
89,101,19159,20272,19909
89,102,13385,13331,12577
89,103,6042,6452,6035
89,104,4929,4239,4236
89,105,5093,4798,4847
89,106,5620,4760,5298
89,107,335,174,197
89,80,50,48,50
89,81,37,25,25
89,82,278,246,253
89,83,91,99,97
89,84,12,13,13
89,85,268,238,266
89,86,6,4,6
89,87,5,39,44
110,88,487,491,494
110,89,2,2,2
110,110,293,242,274
110,111,138,73,84
110,112,272,266,284
110,113,51,53,53
110,114,119,123,125
110,115,57,62,58
110,116,227,238,233
110,117,168,196,201
110,90,24,57,56
110,118,74,87,89
110,119,227,250,251
110,92,270,284,280
110,93,407,385,398
110,95,263,268,276
110,96,117,132,133
110,97,64,122,125
110,98,121,134,135
110,99,122,112,119
110,11,307,343,343
110,14,64,70,75
110,15,362,306,301
110,17,132,148,146
110,18,152,162,182
110,19,297,342,365
110,120,101,117,113
110,121,49,48,51
110,0,148,91,96
110,1,44,49,48
110,122,62,65,65
110,2,116,131,125
110,123,88,119,122
110,124,79,87,83
110,3,318,335,341
110,125,281,299,295
110,4,72,13,78
110,5,130,144,140
110,126,214,205,215
110,6,1,1,1
110,127,147,136,136
110,7,115,127,124
110,9,10,29,11
110,20,274,278,312
110,21,364,243,260
110,22,19,4,7
110,23,81,0,0
110,24,474,275,348
110,25,467,118,141
110,26,276,266,276
110,27,329,337,384
110,28,877,854,964
110,29,1448,490,619
110,30,779,246,344
110,31,6,0,0
110,32,330,228,261
110,33,297,249,259
110,34,377,361,398
110,35,196,134,150
110,36,710,582,660
110,37,459,346,369
110,38,41,39,40
110,39,741,770,790
110,40,45,50,55
110,41,42,48,51
110,42,198,240,242
110,43,69,77,85
110,45,1,1,1
110,46,31,40,38
110,47,6,7,7
110,48,236,206,224
110,49,6,2,7
110,50,26,49,29
110,51,135,149,150
110,52,313,347,348
110,53,445,462,485
110,54,203,215,213
110,55,139,139,152
110,56,39,43,43
110,57,184,185,202
110,59,241,247,256
110,60,728,713,749
110,61,1053,1091,1100
110,62,319,300,304
110,63,33,32,37
110,64,1,1,1
110,65,49,49,48
110,66,274,275,274
110,67,60,76,77
110,68,244,233,237
110,69,432,351,355
110,70,130,127,125
110,71,408,414,407
110,72,148,164,145
110,73,34,39,37
110,74,92,100,100
110,75,7,12,7
110,76,60,59,63
110,77,168,172,175
110,78,582,611,613
110,79,202,208,212
110,100,348,358,368
110,101,562,487,513
110,102,36,24,23
110,103,0,6,0
110,104,6,59,62
110,105,1934,1832,1891
110,106,703,706,727
110,80,247,238,247
110,107,115,119,119
110,108,68,48,49
110,81,97,103,102
110,82,60,52,55
110,109,134,121,131
110,83,372,336,348
110,84,23,18,24
110,85,397,283,290
110,86,860,887,897
110,87,0,16,0
111,88,758,746,763
111,89,1575,1565,1619
111,110,289,247,294
111,111,90,59,69
111,112,183,109,135
111,113,438,259,309
111,114,149,93,111
111,115,263,241,265
111,116,131,138,141
111,117,145,165,173
111,90,0,6,0
111,118,79,79,94
111,91,7,7,7
111,92,111,127,114
111,119,216,250,244
111,93,2630,2583,2654
111,94,281,210,214
111,95,155,176,175
111,96,83,88,90
111,97,243,255,262
111,10,98,105,107
111,98,128,144,148
111,99,75,83,80
111,11,96,112,111
111,12,227,265,264
111,13,71,81,77
111,14,183,197,191
111,15,194,213,227
111,16,144,168,168
111,17,3,5,4
111,18,463,381,403
111,19,14,19,17
111,120,91,115,113
111,0,598,650,669
111,121,510,588,577
111,1,297,308,297
111,122,40,49,50
111,123,175,191,185
111,124,55,78,76
111,125,205,226,220
111,126,100,100,105
111,5,34,55,57
111,6,80,89,85
111,127,311,314,313
111,7,200,217,208
111,8,191,184,177
111,9,166,139,177
111,20,49,44,47
111,21,447,472,514
111,22,5262,4171,4341
111,23,7815,5653,5891
111,24,229,231,281
111,25,372,254,258
111,26,192,140,154
111,27,418,401,456
111,28,225,141,162
111,29,102,42,57
111,30,865,625,759
111,31,620,498,590
111,32,0,4,0
111,33,127,141,146
111,34,260,192,218
111,35,39,40,47
111,36,219,146,165
111,37,197,212,225
111,38,319,153,154
111,39,743,382,396
111,40,696,305,356
111,41,86,88,94
111,42,341,302,319
111,43,160,186,196
111,45,6,7,7
111,46,169,144,149
111,47,105,13,15
111,48,519,512,524
111,49,225,175,243
111,50,205,274,228
111,52,1270,1184,1342
111,53,531,584,570
111,54,219,180,179
111,55,32,16,17
111,56,13,15,14
111,57,220,164,188
111,58,45,63,49
111,59,193,171,191
111,60,161,144,152
111,61,396,189,388
111,62,3819,4112,4127
111,63,142,70,80
111,64,565,532,595
111,65,340,300,280
111,66,616,438,449
111,67,200,199,201
111,68,245,247,237
111,69,72,69,75
111,70,204,218,212
111,71,28,33,31
111,72,483,500,487
111,73,97,153,149
111,74,45,35,35
111,75,166,144,144
111,76,559,561,578
111,77,95,87,91
111,78,243,233,235
111,79,417,410,443
111,100,353,248,269
111,101,180,183,191
111,102,29,28,31
111,103,41,43,43
111,104,156,128,137
111,105,242,213,224
111,106,95,101,98
111,80,90,90,95
111,107,143,136,148
111,81,5,5,5
111,108,227,209,212
111,82,570,563,578
111,109,131,132,166
111,83,884,886,899
111,84,278,278,273
111,85,43,48,45
111,86,299,355,370
111,87,7,6,7
112,88,205,201,212
112,89,584,665,672
112,110,413,292,351
112,111,2497,1850,2133
112,112,2545,2533,2526
112,113,347,174,183
112,114,512,324,362
112,115,254,209,234
112,116,78,65,72
112,90,377,396,391
112,117,199,117,117
112,118,15,20,18
112,92,508,517,520
112,93,1062,1038,1058
112,94,145,147,150
112,95,186,184,187
112,96,85,86,85
112,97,90,83,96
112,10,47,51,49
112,98,1355,604,622
112,99,974,418,434
112,11,4,1,4
112,12,279,327,320
112,13,83,72,76
112,15,116,131,135
112,16,219,269,237
112,17,398,413,442
112,18,91,79,84
112,19,464,517,544
112,120,136,157,162
112,121,4,15,5
112,0,79,61,70
112,122,31,20,20
112,1,18,18,8
112,123,77,110,108
112,2,46,58,50
112,124,139,162,161
112,3,312,321,318
112,125,88,97,97
112,4,152,164,161
112,126,117,126,120
112,5,61,69,66
112,6,166,179,176
112,127,198,241,239
112,7,46,56,48
112,8,76,65,67
112,9,82,109,87
112,20,88,61,67
112,21,991,951,957
112,22,9573,10273,10490
112,23,8223,8816,9174
112,24,13,14,15
112,26,60,70,65
112,27,1368,1229,1292
112,28,1801,1608,1764
112,29,698,542,624
112,30,3,19,20
112,31,305,241,340
112,32,8,10,10
112,33,9,7,11
112,34,572,374,402
112,35,12,12,14
112,36,551,278,313
112,37,324,285,302
112,39,87,46,56
112,40,1222,1199,1222
112,41,1402,1280,1334
112,42,76,70,72
112,43,39,47,48
112,44,92,105,113
112,45,62,69,65
112,46,46,52,48
112,48,892,879,868
112,49,40,26,44
112,51,107,114,118
112,52,140,111,118
112,54,248,266,271
112,55,73,74,80
112,57,2,1,2
112,58,185,195,202
112,59,51,82,70
112,60,64,65,68
112,61,68,70,81
112,62,61,54,57
112,63,351,345,354
112,64,2503,2430,2473
112,65,10843,11212,11204
112,66,713,727,730
112,67,456,450,463
112,68,211,143,156
112,69,96,114,100
112,70,194,204,193
112,71,287,221,205
112,72,4861,5186,5246
112,73,195,202,192
112,74,127,204,202
112,75,420,468,458
112,76,174,187,189
112,77,325,283,290
112,78,436,372,377
112,79,326,304,305
112,100,1060,817,884
112,101,1572,1262,1345
112,102,384,201,260
112,103,569,566,580
112,104,68,67,70
112,105,188,185,187
112,106,37,66,66
112,107,239,191,192
112,81,49,37,48
112,108,222,192,221
112,109,20,22,20
112,82,1598,1616,1643
112,83,933,847,874
112,84,87,66,67
112,85,152,129,128
112,86,280,247,247
112,87,168,174,177
113,88,46,36,35
113,89,1,1,1
113,110,3442,3550,3586
113,111,7950,7969,8084
113,112,19907,20785,20881
113,113,7405,6962,6958
113,114,119,100,109
113,115,114,110,123
113,116,497,403,460
113,90,411,406,403
113,117,252,101,131
113,91,4,4,4
113,118,311,0,0
113,92,64,62,63
113,119,347,386,395
113,93,189,124,126
113,94,213,226,233
113,95,50,50,52
113,96,342,347,355
113,97,184,176,189
113,98,698,470,520
113,10,464,468,460
113,99,2248,2250,2297
113,13,457,488,485
113,14,14,15,16
113,15,305,269,269
113,17,518,425,468
113,18,343,369,393
113,19,116,96,104
113,120,34,34,35
113,0,104,129,121
113,121,12,18,14
113,122,81,114,115
113,1,378,407,416
113,123,18,26,27
113,124,88,121,125
113,3,4,4,4
113,125,75,69,69
113,4,50,51,53
113,5,132,102,106
113,126,65,86,95
113,6,277,244,254
113,127,135,154,150
113,7,163,158,165
113,8,351,366,361
113,9,99,96,92
113,20,112,32,33
113,21,653,596,644
113,22,885,859,898
113,23,991,1046,1092
113,24,10,152,160
113,27,1530,635,720
113,28,12220,12208,12627
113,29,181,170,183
113,30,134,139,146
113,31,57,55,62
113,33,300,288,299
113,34,264,293,310
113,35,1,0,0
113,36,783,742,781
113,37,8316,8248,8333
113,38,6952,6631,6601
113,39,608,389,425
113,40,303,120,129
113,41,151,143,153
113,43,1,1,1
113,44,36,41,43
113,45,356,335,350
113,46,134,133,139
113,47,230,235,241
113,48,67,66,71
113,49,141,144,146
113,50,102,174,154
113,51,94,104,104
113,52,31,35,35
113,55,123,121,134
113,57,9,19,9
113,58,18,18,20
113,59,235,230,227
113,60,4,4,4
113,61,190,223,264
113,62,89,81,94
113,63,16,11,10
113,64,3475,3367,3452
113,65,10465,10728,10828
113,66,392,348,359
113,67,235,233,227
113,68,255,252,263
113,69,129,120,121
113,70,138,101,99
113,71,170,180,175
113,72,1264,1375,1368
113,73,104,107,109
113,74,33,43,39
113,75,247,285,287
113,76,389,39,40
113,77,1625,1576,1623
113,78,948,827,832
113,79,4448,4317,4403
113,100,9333,9155,9556
113,101,1560,1513,1573
113,102,128,170,140
113,103,158,155,163
113,104,174,177,182
113,105,359,265,294
113,106,114,120,118
113,80,11982,12253,12379
113,107,1410,1424,1443
113,81,1834,1880,1880
113,108,96,29,33
113,109,224,227,225
113,82,478,420,432
113,83,400,405,400
113,84,373,407,409
113,85,211,233,234
113,86,559,571,572
113,87,250,253,250
114,88,158,138,132
114,89,35,37,37
114,110,1196,1178,1197
114,111,5237,5068,5320
114,112,15899,16472,16410
114,113,3059,3124,2998
114,114,344,206,241
114,115,921,542,617
114,116,115,0,2
114,90,86,67,68
114,91,66,56,57
114,118,135,2,2
114,119,50,79,79
114,92,274,255,248
114,93,56,57,58
114,94,223,228,230
114,95,202,210,216
114,96,138,135,141
114,97,122,116,118
114,98,948,866,899
114,10,148,147,147
114,99,2010,1934,2001
114,11,10,11,11
114,12,211,210,218
114,13,359,368,381
114,14,8,0,0
114,15,251,242,232
114,16,481,168,415
114,17,620,39,368
114,19,101,109,120
114,120,374,112,118
114,0,183,144,136
114,121,965,46,44
114,122,850,1164,1171
114,1,121,172,136
114,2,120,134,130
114,123,1098,1003,986
114,3,165,179,177
114,124,188,249,251
114,4,164,164,174
114,125,109,87,89
114,5,100,119,107
114,126,66,128,127
114,127,119,73,71
114,6,137,126,122
114,7,551,547,555
114,8,173,160,160
114,9,133,133,132
114,20,121,79,93
114,21,345,345,373
114,22,91,103,113
114,23,2,3,3
114,24,127,137,148
114,25,5,2,5
114,26,5,6,6
114,27,229,224,242
114,28,800,658,732
114,29,308,214,232
114,31,80,76,97
114,32,93,9,9
114,33,19,30,30
114,34,25,49,60
114,35,437,470,508
114,36,22,3,10
114,37,9865,9744,10090
114,38,12720,13138,13034
114,39,478,396,403
114,40,343,261,293
114,41,39,43,48
114,42,46,51,56
114,44,0,1,0
114,45,684,706,717
114,46,65,51,35
114,47,72,107,75
114,48,213,159,196
114,49,21,24,22
114,50,256,231,238
114,51,4,4,4
114,52,87,97,97
114,53,129,79,78
114,54,147,166,168
114,55,87,105,95
114,56,277,282,302
114,57,10,10,11
114,58,689,682,718
114,59,45,40,41
114,60,391,266,274
114,61,99,65,66
114,63,24,19,20
114,64,473,492,498
114,65,365,313,318
114,66,924,886,898
114,67,206,181,186
114,68,100,91,90
114,69,517,521,526
114,70,998,1025,1031
114,71,112,111,113
114,72,365,390,373
114,73,218,28,26
114,74,137,119,111
114,75,562,587,577
114,76,53,46,44
114,77,231,227,232
114,78,205,208,215
114,79,1773,1569,1619
114,100,14060,14202,14414
114,101,2450,2463,2530
114,102,142,142,150
114,103,293,300,311
114,104,66,72,74
114,105,68,67,71
114,106,162,167,170
114,107,335,313,327
114,80,3937,3868,3910
114,108,482,385,411
114,81,1916,1811,1834
114,82,1143,1151,1187
114,109,585,423,470
114,83,154,160,160
114,84,269,280,275
114,85,169,222,206
114,86,213,225,225
114,87,54,47,46
115,88,241,256,255
115,89,83,118,114
115,110,75,48,52
115,111,353,295,357
115,112,1555,1494,1508
115,113,592,515,554
115,114,157,138,169
115,115,225,227,255
115,116,42,33,41
115,90,72,67,69
115,117,16,14,17
115,91,128,136,144
115,118,1,1,1
115,92,215,96,87
115,119,103,140,141
115,93,61,78,82
115,94,60,55,57
115,95,236,251,245
115,96,89,75,76
115,97,31,72,76
115,98,92,99,97
115,10,250,252,262
115,99,126,97,107
115,11,272,304,286
115,12,342,346,339
115,14,30,8,8
115,17,237,258,257
115,18,48,55,52
115,19,173,190,200
115,120,139,191,198
115,121,272,319,318
115,0,513,614,566
115,1,121,89,136
115,122,146,136,139
115,123,209,295,299
115,2,28,31,31
115,3,233,240,248
115,124,25,32,35
115,4,27,31,30
115,125,109,111,118
115,5,16,12,17
115,126,29,37,33
115,6,150,199,208
115,127,400,389,398
115,7,20,23,21
115,20,355,335,359
115,21,319,331,335
115,23,0,4,0
115,24,1879,2064,2262
115,26,23,25,25
115,27,29,25,32
115,28,82,103,113
115,29,225,180,245
115,31,226,206,228
115,32,213,185,200
115,33,11,12,13
115,34,53,62,65
115,35,480,524,546
115,36,150,181,180
115,37,322,79,93
115,38,249,226,250
115,39,232,168,178
115,40,167,151,161
115,41,20,19,25
115,42,161,178,182
115,44,192,77,89
115,45,77,152,104
115,46,1466,1462,1463
115,47,2219,2304,2255
115,48,264,235,246
115,49,233,211,228
115,50,59,64,62
115,51,5,7,6
115,52,246,212,209
115,53,156,122,130
115,54,92,103,101
115,55,20,17,22
115,56,97,108,106
115,57,6,7,7
115,58,14,14,14
115,59,168,142,166
115,60,109,84,102
115,61,23,1,5
115,62,117,82,84
115,63,28,23,24
115,64,212,298,298
115,65,621,604,632
115,66,183,164,190
115,67,152,156,159
115,68,329,340,336
115,69,135,148,139
115,70,222,184,201
115,71,163,162,160
115,72,225,225,239
115,73,199,207,211
115,74,108,110,112
115,75,362,369,370
115,76,39,39,40
115,77,344,347,348
115,78,1211,1127,1250
115,79,1559,1566,1579
115,100,225,174,183
115,101,569,548,579
115,102,140,113,120
115,103,65,69,69
115,104,96,71,71
115,105,483,382,378
115,106,179,195,193
115,107,89,80,85
115,80,10,14,10
115,81,194,180,185
115,108,116,94,98
115,82,531,506,508
115,109,28,24,34
115,83,369,372,380
115,84,69,66,69
115,85,201,211,210
115,86,2008,2088,2109
115,87,215,224,222
116,88,144,161,136
116,89,103,80,74
116,110,147,163,145
116,111,552,466,535
116,112,42,49,53
116,113,631,466,544
116,114,165,122,140
116,115,151,229,249
116,116,35,55,64
116,90,11,12,11
116,117,3,4,4
116,118,16,26,24
116,91,122,117,119
116,119,138,163,165
116,92,87,115,116
116,93,158,172,169
116,94,777,794,828
116,95,195,199,200
116,96,309,314,311
116,97,286,287,286
116,98,314,325,332
116,10,562,510,518
116,11,86,91,91
116,99,137,131,133
116,12,155,156,164
116,13,315,337,334
116,14,694,663,674
116,15,97,87,95
116,16,16,15,15
116,17,23,17,26
116,18,177,181,191
116,19,218,188,224
116,120,67,94,94
116,121,70,58,61
116,0,4,5,5
116,122,93,113,110
116,1,673,765,739
116,2,53,57,58
116,123,92,70,70
116,124,415,579,587
116,3,495,498,517
116,125,161,169,168
116,4,40,19,19
116,126,277,288,285
116,5,1298,1354,1346
116,127,12,13,13
116,6,2,15,15
116,7,23,25,25
116,8,114,117,120
116,9,6444,6636,6769
116,20,5,2,2
116,21,320,313,320
116,23,0,2,0
116,24,330,365,388
116,27,3,6,10
116,28,307,273,297
116,30,54,54,52
116,31,110,65,73
116,32,110,118,129
116,33,471,473,476
116,35,233,252,249
116,36,157,185,193
116,37,145,150,164
116,38,177,147,166
116,39,419,390,425
116,40,280,275,305
116,41,54,66,67
116,42,2,58,62
116,43,13,28,14
116,44,149,118,127
116,45,184,260,300
116,46,2345,2324,2344
116,47,1762,1669,1683
116,48,926,936,956
116,49,228,171,239
116,50,70,106,70
116,51,22,41,23
116,52,14,13,16
116,53,269,284,288
116,54,178,203,190
116,55,101,69,87
116,56,7,7,8
116,58,140,137,141
116,59,149,154,162
116,60,2540,2478,2533
116,61,27,15,19
116,62,926,800,814
116,63,30,27,31
116,64,169,170,174
116,65,44,44,46
116,66,159,166,166
116,67,184,188,191
116,68,39,39,40
116,69,240,245,249
116,70,230,234,234
116,71,88,60,62
116,72,442,332,337
116,73,82,120,117
116,74,129,134,129
116,75,145,149,146
116,76,195,127,129
116,77,290,210,222
116,78,361,348,364
116,79,1488,1501,1541
116,100,466,454,481
116,101,278,284,302
116,102,299,291,296
116,103,218,200,211
116,104,29,45,47
116,105,158,158,165
116,106,216,220,219
116,80,367,351,364
116,107,152,161,159
116,81,91,91,93
116,108,1131,1069,1101
116,109,247,224,240
116,82,290,283,297
116,83,371,359,388
116,84,397,394,407
116,85,256,263,248
116,86,133,112,104
116,87,640,647,669
117,88,427,422,451
117,89,411,377,413
117,110,84,86,93
117,111,224,157,192
117,112,172,152,176
117,113,186,163,200
117,114,87,93,106
117,115,145,132,156
117,116,63,62,67
117,90,6,6,6
117,117,9,11,11
117,118,138,136,170
117,91,15,33,33
117,92,92,89,85
117,119,150,207,197
117,93,559,571,568
117,94,196,204,203
117,95,174,184,186
117,96,142,191,194
117,97,48,36,35
117,10,415,425,421
117,98,224,181,182
117,99,110,118,127
117,12,306,311,319
117,15,228,219,218
117,16,334,343,384
117,17,97,100,103
117,18,2480,2210,2310
