x,y,2018,2011
88,66,399.0,170.0
88,88,35.0,36.0
88,89,0.0,15.0
88,67,485.0,168.0
88,68,172.0,270.0
88,69,834.0,438.0
88,110,1251.0,774.0
88,111,916.0,538.0
88,112,0.0,9.0
88,114,0.0,24.0
88,70,172.0,216.0
88,93,0.0,6.0
88,71,1067.0,818.0
88,72,403.0,248.0
88,94,0.0,6.0
88,73,218.0,214.0
88,74,75.0,79.0
88,79,0.0,5.0
88,120,0.0,23.0
88,123,0.0,2.0
88,125,43.0,30.0
88,126,16.0,30.0
88,105,0.0,13.0
88,106,0.0,3.0
88,80,11.0,4.0
88,107,0.0,33.0
88,81,0.0,15.0
88,108,0.0,8.0
88,109,0.0,81.0
88,82,0.0,6.0
88,83,0.0,8.0
88,85,0.0,8.0
88,64,12.0,0
88,65,37.0,22.0
89,66,879.0,651.0
89,88,0.0,16.0
89,67,1308.0,545.0
89,89,0.0,6.0
89,68,355.0,195.0
89,69,1866.0,2465.0
89,110,0.0,1.0
89,111,0.0,18.0
89,116,0.0,4.0
89,90,0.0,42.0
89,70,4557.0,5978.0
89,71,2496.0,3503.0
89,72,1298.0,1524.0
89,73,197.0,130.0
89,74,0.0,2.0
89,75,0.0,3.0
89,79,0.0,9.0
89,120,0.0,13.0
89,121,0.0,32.0
89,122,0.0,14.0
89,123,0.0,2.0
89,124,5.0,7.0
89,103,0.0,38.0
89,126,0.0,7.0
89,105,0.0,13.0
89,106,0.0,29.0
89,107,0.0,33.0
89,81,0.0,1.0
89,108,0.0,4.0
89,109,0.0,2.0
89,83,0.0,1.0
89,62,43.0,0
89,63,10.0,35.0
89,64,47.0,16.0
89,65,0.0,1.0
110,44,1194.0,1270.0
110,45,3643.0,5160.0
110,89,0.0,6.0
110,46,109.0,154.0
110,48,92.0,191.0
110,49,99.0,45.0
110,110,0.0,47.0
110,111,0.0,15.0
110,112,0.0,44.0
110,113,0.0,9.0
110,116,0.0,5.0
110,90,0.0,17.0
110,117,0.0,89.0
110,91,0.0,15.0
110,92,0.0,13.0
110,119,0.0,2.0
110,93,0.0,6.0
110,50,82.0,321.0
110,94,0.0,4.0
110,51,9.0,45.0
110,95,0.0,4.0
110,52,2.0,4.0
110,96,0.0,6.0
110,53,0.0,1.0
110,97,0.0,6.0
110,54,0.0,36.0
110,55,0.0,38.0
110,56,0.0,43.0
110,57,0.0,34.0
110,120,0.0,21.0
