x,y,population
4060000,2400000,2353
4040000,2340000,1838
3720000,3020000,46627
3420000,3960000,1853
3120000,3620000,7087
5260000,2580000,6386
3840000,2840000,32772
4340000,2240000,28056
4420000,2160000,7226
4260000,3240000,95990
2920000,4860000,20
4700000,5180000,430
3420000,3660000,4412
4860000,3220000,26618
5220000,2820000,51445
5440000,2560000,24717
5520000,2680000,8935
4400000,4340000,143
4900000,2540000,15168
5660000,1680000,14698
3740000,3000000,21104
2960000,4820000,0
3840000,2500000,31840
4620000,4140000,9202
5120000,1960000,39094
3420000,2620000,2611
4540000,4100000,1129
4800000,2860000,26523
3120000,1680000,7358
4700000,4140000,2140
5240000,2660000,12619
4420000,4120000,17039
3700000,1860000,73777
2960000,1780000,1604
5700000,2460000,4638
3480000,3380000,47969
3080000,2080000,2883
3300000,1960000,244
5080000,2180000,180585
4680000,2960000,16174
5720000,2520000,40393
3460000,3580000,23344
3940000,3260000,344192
5420000,2260000,45849
4620000,5060000,2447
4060000,3160000,105607
2820000,1780000,6690
5340000,3740000,34422
2980000,2200000,2597
5320000,4360000,19672
2960000,2340000,1754
4420000,3220000,275723
4800000,2920000,220829
4760000,3300000,18530
3260000,2900000,75336
5160000,3560000,39270
4040000,2860000,17928
2780000,2020000,7449
3420000,3440000,28572
4320000,3780000,18208
3880000,2340000,53055
5020000,4280000,3126
4300000,3700000,16799
3000000,1800000,2958
4560000,3320000,6939
4760000,3140000,21459
4360000,4000000,76816
4200000,2140000,449
4820000,4800000,413
2880000,1840000,24141
5340000,2300000,48153
4740000,2460000,2074
5460000,2380000,4699
5420000,1780000,5703
4720000,2820000,51416
5120000,1940000,1482
4280000,2920000,27202
4260000,4060000,848
3380000,3660000,15089
4900000,2860000,16053
4280000,2340000,17752
3460000,2400000,2541
4060000,3260000,54754
4040000,4000000,4780
5300000,3620000,21423
3360000,3540000,0
4740000,3460000,8489
5140000,2860000,20718
4600000,4380000,3967
3560000,4040000,10760
4780000,3280000,213961
5080000,2400000,13371
3580000,3400000,100743
4380000,4440000,233
5080000,4180000,12428
3660000,3140000,42702
4980000,5280000,172
4500000,3240000,35160
3160000,1900000,14996
5120000,4280000,1768
5220000,3040000,101419
5040000,2620000,32466
4620000,4120000,6332
4600000,4560000,289
3580000,2680000,17384
4920000,4960000,318
4880000,2760000,58819
3600000,2320000,45470
4860000,3300000,22172
4240000,4260000,4
5220000,4000000,23508
4780000,2940000,33554
3440000,1780000,76845
4280000,1980000,5115
3420000,2080000,1447
4440000,4520000,4
4740000,2800000,50462
3480000,2360000,23150
3240000,2200000,399
5560000,2660000,40320
4500000,2200000,50951
4300000,2660000,49192
3380000,3960000,69
5060000,5080000,1
4540000,2540000,57831
5340000,2240000,2110
3240000,3480000,621895
4620000,2540000,17149
3020000,1780000,3045
3500000,2840000,19192
4940000,2920000,130771
3400000,2780000,33479
5040000,3420000,36070
4480000,2940000,24267
5100000,3800000,3919
5680000,2200000,6992
3360000,3980000,68
3840000,2900000,25528
4100000,3940000,907
4800000,2660000,13450
3660000,2740000,90223
4960000,5040000,62
4760000,3460000,6920
5020000,2820000,18542
4620000,4240000,240
2760000,1800000,622
4400000,4040000,4549
4940000,5400000,1
3520000,3560000,936
5220000,2660000,18639
4100000,3980000,176
4500000,2720000,15756
3560000,2480000,25772
5180000,3060000,88849
3820000,2460000,10276
4360000,4100000,36802
4400000,4120000,8757
4740000,2440000,2163
4580000,2940000,10565
4220000,4460000,790
4620000,3040000,41934
3580000,3160000,124573
5060000,4980000,599
3200000,2000000,7098
3080000,3500000,24258
5240000,4140000,5610
4360000,3000000,15478
3020000,2180000,3631
5520000,2600000,17315
5340000,3960000,1839
3840000,2880000,11077
4700000,2620000,16221
5160000,2580000,21186
3600000,3420000,112640
4200000,3960000,116
4640000,2820000,32657
3380000,2260000,2713
