x,y,pp,ra,rp
0,6,1068511,325664,30
0,7,1064754,310498,29
0,8,1062830,334929,31
0,10,1058991,307812,29
0,12,1055109,367572,34
0,13,1052331,371927,35
0,14,1048625,290473,27
0,15,1046037,254182,24
0,26,1031853,630331,61
0,27,1030774,648323,62
0,28,1029264,628784,61
0,29,1027237,642852,62
0,30,1024366,663465,64
0,31,1020713,665377,65
0,32,1017594,719365,70
0,34,1008992,732195,72
0,35,1004731,735559,73
0,36,1002997,747135,74
0,37,1000873,739731,73
0,39,989951,683951,69
0,40,980100,745587,76
0,41,975409,758963,77
0,42,971888,748166,76
0,43,968331,731112,75
0,44,964739,731077,75
0,46,956690,722209,75
0,47,947165,723600,76
0,48,936659,709340,75
0,53,842027,721070,85
0,54,837464,721078,86
0,56,826919,712922,86
0,57,824883,698811,84
1,6,1068598,322237,30
1,7,1063655,333029,31
1,8,1061225,319016,30
1,9,1059183,333872,31
1,10,1056589,312722,29
1,11,1054313,295866,28
1,13,1050677,230948,21
1,14,1047707,231447,22
1,24,1033425,416510,40
1,27,1028619,633216,61
1,28,1026756,600930,58
1,29,1024356,629748,61
1,30,1021614,648884,63
1,31,1018704,660940,64
1,32,1016152,681909,67
1,33,1012018,711484,70
1,34,1007751,693166,68
1,35,1003870,739323,73
1,36,1001735,739819,73
1,37,999634,694456,69
1,38,994067,695767,69
1,40,977646,740336,75
1,41,974109,755218,77
1,42,971344,735377,75
1,43,968990,737808,76
1,44,964511,734619,76
1,45,962450,719934,74
1,46,957868,715483,74
1,48,936315,716223,76
1,49,919287,706248,76
1,51,857526,688865,80
1,54,830096,712818,85
1,55,827339,712209,86
1,56,824561,681734,82
1,57,822957,708542,86
1,58,821416,695154,84
1,59,819920,676514,82
2,0,1084623,336795,31
2,6,1067452,332776,31
2,10,1055540,309435,29
2,12,1051706,259546,24
2,13,1049375,242015,23
2,14,1046866,225884,21
2,15,1044053,217621,20
2,28,1024230,598592,58
2,30,1019363,659591,64
2,31,1017375,680788,66
2,33,1012018,660027,65
2,34,1007731,721415,71
2,35,1004444,735530,73
2,36,1001101,738634,73
2,37,998691,697865,69
2,39,987658,729064,73
2,40,976564,747001,76
2,41,972528,746644,76
2,42,970484,732366,75
2,43,968056,727629,75
2,44,963971,710602,73
2,45,960446,726462,75
2,47,949437,717534,75
2,48,934884,708455,75
2,49,920963,691010,75
2,54,827647,712254,86
2,55,825289,712244,86
2,56,823506,690882,83
2,57,821563,697151,84
2,58,819520,690156,84
3,0,1081213,330228,30
3,1,1079842,332936,30
3,4,1074247,333727,31
3,5,1070312,332309,31
3,6,1065828,329622,30
3,7,1062435,317392,29
3,8,1056626,317054,30
3,10,1053012,298833,28
3,12,1049301,251471,23
3,13,1047909,226565,21
3,14,1045016,210794,20
3,16,1040751,273979,26
3,17,1039515,301564,29
3,25,1026982,456920,44
3,28,1020985,630776,61
3,30,1017453,660776,64
3,31,1015539,640848,63
3,32,1013528,632305,62
3,34,1007386,701847,69
3,35,1003604,656376,65
3,36,999774,729803,72
3,37,997805,726075,72
3,38,991819,732083,73
3,39,985006,733350,74
3,40,974572,736046,75
3,41,970881,734685,75
3,42,968767,745510,76
3,43,966201,727456,75
3,45,957845,719877,75
3,46,954505,722065,75
3,47,946827,715442,75
3,48,931859,709337,76
3,53,831615,700055,84
3,54,826274,668650,80
3,55,823899,682713,82
3,56,822514,703021,85
3,57,819903,689823,84
3,62,812606,573990,70
3,63,811031,518214,63
4,0,1078712,280201,25
4,2,1075928,338723,31
4,3,1073634,337034,31
4,5,1067859,334704,31
4,6,1064784,330315,31
4,7,1061915,323691,30
4,12,1046917,243057,23
4,27,1021069,576105,56
4,28,1019167,636474,62
4,29,1017764,658512,64
4,30,1016050,641930,63
4,31,1013636,646424,63
4,32,1012360,696760,68
4,33,1009894,665572,65
4,34,1005953,654233,65
4,35,1002053,647958,64
4,36,998440,724504,72
4,37,995297,728360,73
4,39,980827,729111,74
4,40,973243,721243,74
4,42,966086,737083,76
4,45,950612,707844,74
4,46,945805,709358,75
4,47,940880,709460,75
4,48,930440,706489,75
4,55,821968,676488,82
4,56,820576,690264,84
