x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,15,15,7,2,0.1,0,0.8,7,0.8,5,814,1
0,16,10,4.7,1.3,0.1,0,0.5,4.7,0.5,3.3,542.7,1
0,95,2,0.9,0.2,0,0,0.1,0.9,0.1,0.3,119.1,1
0,96,1,0.4,0.1,0,0,0,0.4,0,0.2,59.6,1
0,97,1,0.4,0.1,0,0,0,0.4,0,0.2,59.6,1
0,110,1,0.5,0.1,0,0,0.1,0.5,0.1,0.3,54.9,1
0,112,4,1.8,0.4,0.1,0,0.2,1.8,0.2,1.3,219.5,1
0,114,4,1.8,0.4,0.1,0,0.2,1.8,0.2,1.3,219.5,1
0,115,3,1.4,0.3,0.1,0,0.2,1.4,0.2,1,164.7,1
0,117,5,2.3,0.5,0.1,0,0.3,2.3,0.3,1.6,274.4,1
0,120,6,2.2,0.5,0.2,0,0.1,2.2,0.4,1.8,249.2,1
0,121,1,0.4,0.1,0,0,0,0.4,0.1,0.3,41.5,1
0,132,2,0.7,0.1,0,0,0.1,0.7,0.1,0.6,92.3,1
0,140,3,1.1,0.2,0.1,0,0.2,1.1,0.2,0.9,138.4,1
0,156,8,3.2,0.7,0.2,0,0,3.2,0.2,2.9,344.7,1
0,207,9,3.5,0.7,0.2,0.9,0.2,2.6,0.4,1.1,438.6,1
0,208,6,3,0.8,0,0.2,0.6,2.8,0.6,2.1,322.9,1
0,209,2,1,0.3,0,0.1,0.2,0.9,0.2,0.7,107.6,1
0,228,4,1.4,0.2,0.2,0.1,0.1,1.3,0,1.3,196.4,1
0,232,54.5,17,0,3,0,1,17,1,17,2177.8,0
0,233,162,74,25,1,25,16,49,6,24,5613,0
0,234,26,9.4,1.2,0.5,0,0.2,9.4,0.2,8.4,1078.9,1
0,235,62.5,22,2,1,0,1,22,0,20,2453,0
0,236,44,19,4,0,0,0,19,0,18,2157.8,0
0,237,34.5,12.4,1.6,0.7,0,0.2,12.4,0.2,11.1,1431.6,1
0,242,2,0.7,0,0,0,0.1,0.7,0.1,0.6,86.2,1
0,249,4,1.5,0.3,0.2,0,0.2,1.5,0.2,1.1,192.4,1
1,3,1,0.6,0.4,0,0,0,0.6,0.1,0.4,85.1,1
1,4,1,0.6,0.4,0,0,0,0.6,0.1,0.4,85.1,1
1,9,1,0.4,0.1,0,0,0,0.4,0.1,0.3,54.1,1
1,13,13,6.1,1.7,0.1,0,0.7,6.1,0.7,4.3,705.5,1
1,15,11,5.2,1.4,0.1,0,0.6,5.2,0.6,3.6,597,1
1,17,3,1.4,0.4,0,0,0.1,1.4,0.1,1,162.8,1
1,96,3,1.3,0.3,0,0,0.1,1.3,0.1,0.5,178.7,1
1,97,7,3,0.8,0,0,0.2,3,0.2,1.1,417,1
1,112,8,3.6,0.8,0.2,0,0.4,3.6,0.4,2.6,439.1,1
1,116,3,1.4,0.3,0.1,0,0.2,1.4,0.2,1,164.7,1
1,117,5,2.3,0.5,0.1,0,0.3,2.3,0.3,1.6,274.4,1
1,120,5,1.8,0.4,0.2,0,0.1,1.8,0.3,1.5,207.7,1
1,122,3,1.1,0.2,0.1,0,0.1,1.1,0.2,0.9,124.6,1
1,154,10,4,0.9,0.2,0,0,4,0.2,3.6,430.9,1
1,216,2,1,0.3,0,0.1,0.2,0.9,0.2,0.7,107.6,1
