x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,Men,Men_pauv
88,121,2,0.1,0.1,0.1,0.6,0.3,0,0.4,0.2,0,0.2,0,38216.2,0.8,0.2
88,100,3,0,0.2,0.1,0.3,0.7,0,0.5,0.6,0.2,0.3,0.1,60397.2,1.2,0.3
88,122,3,0.1,0.1,0.2,0.9,0.5,0,0.5,0.3,0,0.4,0,57324.3,1.3,0.3
88,123,5,0,0.9,0.5,0.4,1.7,0,0.3,0.3,0.5,0.3,0.1,84671.4,1.4,0.5
88,101,16,0.2,1.2,0.2,1.6,3.6,0.2,2.6,3,1.2,1.6,0.6,322118.4,6.4,1.6
88,102,6,0.1,0.4,0.1,0.6,1.4,0.1,1,1.1,0.4,0.6,0.2,120794.4,2.4,0.6
88,124,4,0,0.8,0.4,0.3,1.4,0,0.2,0.2,0.4,0.2,0.1,67737.1,1.2,0.4
88,103,3,0.1,0.3,0.1,0.4,0.5,0,0.6,0.2,0.2,0.4,0.2,57340.1,1.2,0.4
88,114,14,0.7,1.7,1.3,2.3,2.4,0.4,2.6,1.3,0.8,0.5,0,275828.2,4.7,0.8
88,125,5,0,0.9,0.5,0.4,1.7,0,0.3,0.3,0.5,0.3,0.1,84671.4,1.4,0.5
88,126,5,0,0.9,0.5,0.4,1.7,0,0.3,0.3,0.5,0.3,0.1,84671.4,1.4,0.5
88,104,1,0,0.1,0,0.1,0.2,0,0.2,0.1,0.1,0.1,0.1,19113.4,0.4,0.1
88,115,52.5,2.3,6.800000000000001,4.6,8.2,9.5,1.3,9.8,4.4,3,2.4,0.2,1011667.5,18.1,2.9
88,127,4,0,0.8,0.4,0.3,1.4,0,0.2,0.2,0.4,0.2,0.1,67737.1,1.2,0.4
88,105,4,0.1,0.4,0.1,0.6,0.7,0,0.8,0.2,0.2,0.6,0.3,76453.4,1.6,0.6
88,117,18,0.4,3.2,0.6,2.2,4.3,0,3.9,0.4,0.9,1.7000000000000002,0.4,296294.89999999997,7.300000000000001,0.8
88,90,2,0.1,0.2,0.1,0.3,0.5,0,0.2,0.3,0,0.3,0,28290,0.7,0.3
88,92,3,0.2,0.3,0.2,0.4,0.6,0,0.3,0.5,0,0.5,0,42435,1.1,0.5
88,108,6,0.5,0.5,0.1,1.3,1.1,0.1,1,0.7,0.5,0.2,0,125366.9,2.3,0.1
88,119,9,0.30000000000000004,0.4,0.4,2.7,1.4,0,1.6,0.9,0.2,1.1,0,171972.9,3.8,0.9
88,109,2,0.2,0.2,0.1,0.4,0.3,0.1,0.3,0.2,0.1,0.1,0,41788.9,0.8,0
89,99,9,0.7,0,0.2,1.6,2.6,0.2,0.9,1.2,0.2,1.4,0,217596,3.5,0.5
89,120,8,0.2,0.3,0.5,2.4,1.3,0,1.4,0.7999999999999999,0.1,1,0,152864.80000000002,3.3,0.7999999999999999
89,100,9,0.3,0.4,0.2,1.2,2.3,0.1,1.2000000000000002,1.5,0.5,1.1,0.2,197371.3,3.5,0.7
89,101,20,0.5,1.1,0.4,2.1999999999999997,4.9,0.30000000000000004,3.1,3.6,1.2,2.0999999999999996,0.6,418827.60000000003,7.9,1.8
89,102,5,0,0.4,0.1,0.5,1.1,0,0.8,1,0.4,0.5,0.2,100662,2,0.5
89,103,8,0,0.3,0.6,0.3,1.9,0,2.9,0.6,0,0.7,0.7,160618.6,3.5,1
89,104,7,0,0.3,0.5,0.3,1.7,0,2.5,0.5,0,0.6,0.6,140541.2,3.1,0.8
89,90,5,0.3,0.5,0.3,0.7,1.1,0,0.5,0.8,0,0.8,0,70724.9,1.8,0.8
89,117,1,0,0.2,0,0.1,0.3,0,0.2,0,0.1,0.1,0,16460.8,0.4,0
89,107,2,0,0.1,0.1,0.1,0.5,0,0.7,0.1,0,0.2,0.2,40154.6,0.9,0.2
89,119,2,0.1,0.1,0.1,0.6,0.3,0,0.4,0.2,0,0.2,0,38216.2,0.8,0.2
89,108,28,2.3000000000000003,2.5,0.7,6.2,4.9,0.7,4.1000000000000005,3.5,2.1,1,0,585045.2,10.700000000000001,0.7
89,109,4,0.3,0.3,0.1,0.9,0.7,0.1,0.6,0.5,0.3,0.2,0,83577.9,1.5,0.1
89,97,2,0.1,0.2,0,0.3,0.2,0,0.3,0.6,0.1,0.2,0,37447.7,1,0.3
89,98,10,0.5,0.5,0.3,1,2.5999999999999996,0.1,1.9000000000000001,1.5000000000000002,0.5,1,0.1,189595.89999999997,4.500000000000001,1.1
89,87,2,0,0.4,0.2,0.1,0.5,0,0.2,0.4,0.1,0.1,0,32998.2,0.6,0.2
110,110,3,0,0.5,0.2,0.1,0.8999999999999999,0,0.7,0.30000000000000004,0,0.30000000000000004,0,57154.3,1.2000000000000002,0.4
110,111,1,0,0.2,0.1,0,0.3,0,0.2,0.1,0,0.1,0,19051.4,0.4,0.1
110,112,31,1,3.1,2.5,2.2,6.1,0,5.5,7.699999999999999,1,1.8,0.1,552616.3,13.8,4.8999999999999995
110,113,23.5,1.6,0.8,0.6,3.8,2.8000000000000003,1,5.5,3.2,1,3.2,0,392991.8,8.600000000000001,2.2
110,126,11,0.30000000000000004,0.8,0.4,0.9,2.9000000000000004,0.5,0.6,2.1,1.1,1.1,0.30000000000000004,197094.7,3.8,0.4
