x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,3,0,3,0,8,11
0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,8,3,6,14
0,29,6,0,0,4,0,3,4,0,5,4,3,5,0,0,6,3,3,0,0,0,19,3,25,44
0,30,0,0,0,3,0,0,0,0,0,3,6,0,0,0,3,3,0,0,0,0,11,0,9,20
0,31,3,4,0,3,3,3,3,3,6,7,0,7,3,4,4,7,3,0,0,0,29,0,30,59
0,32,6,3,0,10,5,8,6,5,10,8,11,10,3,4,10,3,5,0,0,0,48,5,63,111
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,38,0,0,0,3,0,0,3,3,9,0,0,0,0,0,6,6,0,0,0,0,10,0,16,26
0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
0,42,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,7,0,9,16
0,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6
0,52,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,3,0,5,8
0,59,0,3,0,3,0,3,0,3,3,0,0,0,0,3,4,3,4,0,3,0,16,0,11,27
0,60,7,3,0,6,3,3,0,3,6,6,0,6,3,3,0,3,3,0,0,0,21,3,26,47
0,61,0,3,0,0,3,0,0,4,0,0,3,3,6,0,0,0,3,0,0,0,8,0,12,20
0,62,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,7,0,4,11
0,64,0,0,0,8,3,3,3,3,3,0,6,0,0,3,6,0,3,3,0,0,20,3,28,48
0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
0,71,5,3,0,3,0,4,0,0,6,6,0,5,8,0,4,3,0,0,0,0,24,0,25,49
0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
0,91,0,0,0,0,0,3,0,0,0,3,3,3,3,3,7,3,3,0,0,0,13,0,13,26
0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
0,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,7,10
1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
1,8,0,0,0,3,0,0,0,0,0,3,5,0,5,7,11,6,0,0,0,0,17,0,29,46
1,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,4,7
1,19,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,3,6
1,23,3,3,0,4,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,8,0,13,21
1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,6
1,27,5,3,0,11,3,3,3,6,3,3,4,3,9,10,7,5,4,3,0,0,37,3,54,91
1,28,3,0,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,0,6,0,9,15
1,29,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3
1,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
1,33,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1,39,0,3,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,8,0,4,12
1,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,6
1,41,0,3,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,0,4,0,3,7
1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1,80,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3
1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,98,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,0,0,0,3,0,8,11
1,99,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,7,11
1,122,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,123,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
