x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
72,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
73,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,6
73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
74,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,3,9
74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,6
75,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
77,0,6,0,0,0,0,3,0,0,3,6,3,3,0,3,3,0,0,0,0,0,0,11,14,25
77,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,4,3,7
78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
79,5,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,6
79,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,6
79,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,3,0,0,0,0,4,6,3,3,0,0,6,0,0,0,3,0,0,3,0,20,15,35
80,2,0,0,0,0,0,0,0,0,0,0,3,0,0,7,9,9,0,0,0,0,0,14,14,28
80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3
80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,3,0,0,0,0,3,9,3,7,9,6,6,4,8,10,9,3,6,6,0,0,41,49,90
81,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,7
81,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,6
81,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3
82,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,3,0,0,0,0,8,7,15
82,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
84,4,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,6
84,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
85,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
86,4,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,3,6,0,0,0,0,3,16,19
87,1,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,9
87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,6
87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,7
87,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6
88,0,9,9,0,9,6,6,3,6,7,12,3,6,7,6,12,9,9,6,0,0,0,53,45,98
88,1,7,3,0,10,0,0,3,3,3,9,3,9,3,6,0,0,6,0,6,0,0,29,27,56
88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
88,3,6,0,0,6,3,0,0,3,3,10,3,0,0,0,3,0,3,0,0,0,0,24,24,48
88,4,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,10
88,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6,0,3,0,0,3,0,0,3,0,6,3,0,0,0,0,0,0,3,3,0,0,11,16,27
88,24,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,6,6,0,0,0,0,3,9,12
88,25,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,4,4,8
89,0,25,11,0,19,9,9,14,15,20,18,20,26,25,18,29,14,20,13,0,3,0,124,151,275
89,1,0,0,0,0,0,0,3,3,3,3,0,6,3,3,0,3,0,0,0,0,0,6,11,17
89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,9
89,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9
89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
89,25,0,3,0,0,3,0,0,0,0,0,3,6,3,3,0,0,3,0,0,0,0,9,12,21
89,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
90,0,6,3,0,7,3,3,0,3,6,10,10,6,6,6,3,3,0,0,0,3,0,34,35,69
90,2,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,4,8
90,3,9,0,0,3,0,3,0,3,9,0,6,0,0,3,5,0,3,0,0,3,0,17,22,39
90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
90,6,0,0,0,3,6,6,0,0,0,3,6,3,0,0,0,6,0,0,0,0,0,13,20,33
90,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,6,11,17
90,10,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,7,14,21
90,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
90,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
90,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,27,6,6,0,3,0,4,6,6,3,0,3,6,3,6,0,12,6,3,0,0,0,38,43,81
90,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
91,0,0,3,0,3,0,0,0,0,3,3,0,0,3,0,0,3,3,0,0,0,0,5,7,12
91,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,10
91,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,9,8,17
91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,5,8
91,8,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
91,10,3,3,0,3,3,0,0,6,0,0,7,8,6,3,4,3,3,3,7,0,3,27,35,62
91,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
91,12,3,6,0,3,0,3,7,3,3,6,3,7,3,7,5,3,3,3,0,0,0,27,29,56
91,13,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,3,0,0,0,3,6,9
91,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,6,0,3,3,0,0,9,15,24
91,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,22,19,16,0,18,13,17,16,21,12,25,26,23,13,15,34,34,16,22,14,5,0,190,178,368
91,23,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,6
91,24,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,3,6
91,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
91,26,3,0,0,0,0,0,0,3,0,3,0,6,3,0,0,3,0,0,0,0,0,15,11,26
91,27,3,0,0,0,0,3,0,3,0,3,0,0,6,3,3,6,0,0,3,0,0,12,17,29
91,29,3,0,0,0,0,3,0,3,0,3,3,0,3,0,0,3,3,0,0,0,0,14,17,31
91,30,0,3,0,0,0,0,3,0,0,3,0,3,3,3,0,0,0,3,3,0,0,11,14,25
92,0,0,3,0,6,0,6,3,0,3,9,3,6,3,0,3,5,3,3,0,3,0,24,33,57
92,1,3,0,0,6,3,3,3,3,3,5,11,7,6,0,0,6,12,6,0,3,0,44,57,101
92,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,6,12
