x,y,val
12,14,41
11,0,53
11,15,243
0,14,1329
11,12,734
8,13,165
14,7,40
9,7,173
5,8,19
12,3,175
5,0,183
11,6,51
1,5,158
3,9,87
6,2,6
6,5,206
14,5,1
15,9,2819
6,12,71
2,12,230
3,14,262
0,3,263
3,1,89
12,0,85
13,2,420
11,7,5
2,15,7
6,14,39
7,6,201
9,13,12
7,3,146
4,15,196
15,8,469
10,9,1216
8,4,14
4,11,533
0,7,20
2,7,211
4,8,611
6,3,2178
0,6,373
11,9,2942
13,7,471
8,3,35
10,0,371
1,4,7
0,0,45
8,15,100
11,4,1493
1,14,113
14,0,110
12,5,898
10,10,10
0,15,807
7,14,18
14,12,2157
1,2,1396
1,12,24
3,10,179
10,1,6
15,1,100
12,10,3576
5,15,69
14,2,133
15,6,73
4,6,144
12,2,302
0,4,114
10,13,66
13,8,1881
7,8,6
6,10,10
0,2,8
9,10,395
2,0,171
14,15,14951
6,6,133
4,5,5379
3,6,33
8,7,43
11,14,205
9,11,23
15,15,3969
13,12,25291
14,4,5
4,9,5171
6,1,33
9,4,114
5,3,131
13,15,6
9,0,15
6,13,64
13,11,7626
8,9,1941
7,13,359
9,9,3842
14,14,2424
9,2,129
2,4,22
6,7,1394
0,5,341
8,2,4
15,2,140
11,3,558
6,11,308
14,8,3945
12,13,903
7,9,213
10,2,44
0,9,444
9,1,53
12,4,44
12,11,13092
0,8,228
1,13,19
11,5,132
6,15,214
13,6,59
2,14,439
12,9,6459
0,11,21
15,0,289
1,9,394
11,8,6750
9,3,16
14,6,110
5,1,64
15,4,76
9,14,325
5,11,573
10,11,301
11,13,82
1,11,178
5,6,131
3,4,133
15,13,234
1,6,397
11,11,707
5,13,34
13,10,8788
2,9,465
3,2,707
1,15,139
13,14,1312
1,0,62
4,0,15
13,9,9906
4,10,4747
2,6,86
9,6,104
7,0,12
3,3,100
13,0,86
7,1,389
12,8,971
2,1,18
2,10,336
12,15,196
7,5,41
2,13,290
14,9,5303
4,12,91
9,15,221
13,1,1357
7,15,12
15,7,852
5,5,55
0,10,45
12,12,2684
1,3,1585
5,7,13
9,8,78
11,2,226
6,9,131
5,12,397
8,8,363
15,14,235
1,8,223
12,6,537
2,2,133
8,10,278
14,1,262
10,3,1199
3,5,898
10,8,1131
3,15,136
10,4,1743
15,10,556
5,9,6691
4,7,19
12,1,634
14,11,1816
10,14,885
15,3,5
7,11,318
13,5,5
13,3,81
3,8,302
5,14,262
7,7,5
1,10,158
4,13,652
4,1,10
4,14,9
8,6,36
1,7,50
14,3,11
8,11,841
2,11,186
1,1,43
13,13,12820
9,5,175
3,11,80
14,13,1920
3,13,929
3,7,193
8,1,107
8,5,226
11,1,51
2,3,273
14,10,13529
7,10,236
5,10,4299
15,11,312
6,4,300
15,5,26
6,8,535
2,5,234
