x,y,val
127,189,268
120,174,38
88,168,7124
105,89,7
94,163,3
185,198,37
33,155,4097
39,145,4104
55,192,474
190,153,31
126,82,1470
64,196,7276
52,198,78
106,193,300
133,214,585
175,231,383
135,201,88
65,207,131
23,109,187
59,163,306
98,187,428
143,166,41
94,75,3187
33,111,1287
108,188,35
84,174,138
203,227,2482
41,124,21645
142,210,161236
212,174,563
39,164,4089
162,86,2785
178,103,643
127,120,19455
123,158,558
142,89,74
229,121,138
121,169,19
188,216,422
115,205,15
101,143,296
234,185,13337
245,222,88
41,121,640
134,207,8
97,150,2107
97,153,238
44,205,6909
208,161,2957
140,189,524
77,78,5195
162,172,6
170,103,845
239,230,175
61,190,1781
56,181,2059
54,97,129
197,221,5500
153,178,475
157,206,14941
95,90,476
82,145,8
108,182,4787
29,105,37
114,192,137
24,99,214
178,221,207
230,171,79
237,206,149
60,214,649
21,98,84
127,143,684
129,210,45
130,80,345
224,117,5051
176,147,4
176,142,478
100,198,50
163,207,296
80,207,3783
107,153,3426
25,132,370
123,171,109
76,133,366
69,164,11
145,170,67
101,205,444
183,210,491
155,139,62
56,153,2
159,127,102
226,121,1802
60,218,171
140,181,6
169,135,19
236,184,17309
164,194,264
214,242,440
16,95,1839
199,196,1491
162,105,21
56,195,161
98,210,1087
52,141,2622
70,90,4162
50,165,1168
161,149,62
115,71,100
224,159,73214
58,203,1140
130,167,13
224,253,228
63,91,12944
144,122,3265
162,83,269
88,208,369
52,169,2940
219,232,113
128,130,5380
217,223,1065
34,137,680
111,199,1117
128,177,460
77,177,807
89,110,451
60,145,7
108,219,10
59,202,818
202,229,387
49,216,1208
69,220,186
87,183,160
86,73,2059
202,153,58700
207,156,1960
236,249,685
154,144,3
114,134,13
100,211,91
145,77,254
48,129,2196
251,229,537
148,173,66
80,130,560
202,174,57
89,76,931
92,216,67
113,132,1969
91,109,38
215,228,865
81,211,2284
67,153,1331
82,155,293
155,203,1136
101,83,40
139,167,19
100,150,1378
130,77,252
48,106,4
105,94,1100
209,234,1730
89,201,475
99,149,125
203,152,24324
141,202,11
152,94,5407
71,137,1071
112,216,1382
124,187,90
50,148,115
98,200,533
232,190,33
93,168,11
178,189,120
239,244,377
61,74,2142
106,215,332
230,175,753
144,193,646
178,237,1
225,182,816
207,159,42
176,240,176
187,236,4813
248,212,1097
58,100,2930
213,216,33524
44,106,237
200,184,235
156,117,709
174,124,4457
164,161,49
195,251,491
192,231,3531
50,125,1539
142,202,152
45,121,351
158,125,1793
51,128,507
29,144,1135
221,220,309
125,142,837
31,116,339
196,177,62
138,80,503
228,192,76
108,150,5257
62,71,65617
250,235,226
148,192,1634
30,147,999
77,129,9715
162,198,331
72,108,1
44,138,19
47,187,24114
128,159,81
72,131,2706
250,214,613
65,181,284
101,198,105
120,162,61
86,185,277
223,158,16237
248,213,9
217,158,34903
19,139,2081
171,180,776
90,209,103
82,186,129
90,109,1430
97,221,63284
136,196,12
112,191,167
28,133,12
116,171,380
186,231,44
153,92,23840
163,132,127
95,132,13
194,253,682
125,212,150
202,251,217
182,138,1205
59,224,3175
134,81,874
204,108,221
136,166,74
26,148,3167
125,89,32
215,255,3270
252,120,1454
178,242,129
234,173,240
100,200,289
241,241,114
149,87,251
194,244,1304
102,70,9407
252,239,143
126,215,3390
82,159,248
114,196,338
236,229,177
250,207,167
67,92,31912
234,233,680
174,104,14
173,149,203
166,134,113
45,172,795
226,187,99
132,210,538
136,66,244
74,227,612
68,198,67
101,94,593
55,140,42
90,205,232
175,98,194
159,136,404
46,157,186
226,114,1960
21,134,146288
106,149,1843
183,239,18868
129,148,1284
150,92,534
185,136,355
91,188,277
228,171,2398
99,96,646
215,222,468
68,160,142
169,145,78
104,140,6
93,118,20
29,154,23742
102,107,595
190,166,7
39,150,1472
174,128,364
115,99,382
235,251,76
176,205,347
225,197,2003
60,159,423
42,174,5768
206,154,2818
204,202,308
138,85,1713
179,135,119
60,198,714
210,160,888
233,165,7398
199,216,316
156,122,926
120,164,541
235,204,43
52,100,413
202,198,835
212,210,2513
58,205,1532
38,95,78
146,181,27
83,191,345
214,235,1288
49,147,75
140,104,127
211,175,51
213,167,40
91,169,542
120,215,489
64,192,1673
146,182,88
176,232,1411
100,220,3561
122,161,100
26,136,16692
47,183,19335
201,198,1281
179,204,635
52,204,1324
132,194,136
231,167,3061
143,124,740
243,209,151
136,164,473
54,134,1904
128,183,82
178,209,8027
219,198,240
82,185,235
28,118,1139
120,187,7
66,229,448
137,214,373
72,161,304
189,139,25864
144,153,11
209,194,778
22,135,48508
112,157,1074
104,79,92
91,147,21
169,105,179
188,250,563
119,214,458
166,129,279
204,153,44730
39,176,1677
155,208,23695
81,207,1028
113,212,329
26,121,136
70,174,408
154,193,351
196,178,77
87,155,56
190,179,81
164,206,308
200,244,333
41,143,589
212,224,562
63,150,3
155,190,1799
112,145,2396
102,131,50
241,217,295
253,213,1444
43,101,38
152,124,2566
148,153,21
220,252,453
195,207,355
98,146,2
89,82,7
118,82,1108
113,171,965
54,155,801
172,113,3986
105,82,5247
38,132,445
218,223,383
77,221,134
127,184,82
240,196,4788
89,149,2083
213,250,327
64,144,142
134,216,2453
252,212,242
84,155,715
41,178,17531
48,176,74
52,153,159
110,178,107
171,113,43407
49,172,3254
151,156,78
217,202,4538
53,135,11
159,205,803
214,198,331
189,171,40
20,130,11578
38,157,1744
114,165,1404
56,217,539
119,138,5157
77,165,48
242,240,122
29,96,1082
208,230,345
67,212,276
31,103,218
240,212,495
88,213,1916
119,141,10130
51,144,11
180,212,777
115,176,193
212,158,2257
71,227,654
178,191,101
212,156,15633
43,176,9002
120,69,11400
212,179,285
49,219,2007
216,176,95
218,222,252
187,207,693
45,92,18551
113,69,116
96,226,5853
137,113,1047
207,226,636
66,212,64
44,117,3
135,185,100
127,212,709
25,133,66
233,213,445
66,92,22526
95,93,2504
77,154,116
114,141,1912
112,171,749
230,193,180
119,127,36
227,163,7321
192,226,184
118,72,319
227,244,201
246,197,17118
30,110,26
162,168,34
115,90,1711
122,178,47
52,137,357
123,170,102
28,126,1
123,150,54813
104,139,24
80,145,27
157,201,168
44,223,508
157,86,767
60,163,391
183,205,10934
204,237,329
158,182,3955
129,201,36
229,120,75
214,241,3304
156,196,596
135,116,3699
166,124,817
202,172,55
116,151,3883
211,218,2791
149,119,553
167,183,1073
53,198,923
116,94,129
145,192,1917
127,163,1
115,81,857
173,109,647
187,211,436
92,109,17439
135,213,5481
132,98,99
179,225,382
255,243,194
218,227,90
70,218,185
198,156,487
177,175,992
108,126,14
98,224,911
151,166,70
202,225,776
119,193,147
93,137,511
150,172,63
86,191,188
95,226,10236
55,135,221
37,154,931
157,130,98
59,193,271
195,181,10
128,84,94
41,155,2871
48,150,716
52,129,85
94,115,489
139,105,97
188,184,1033
31,121,4
37,107,45
29,103,399
204,233,361
33,130,15
45,106,36
178,126,1926
61,191,741
166,201,384
225,169,295
155,93,2511
178,238,17
75,63,26450
50,188,23415
251,214,99
180,242,2333
43,105,98
113,216,190
56,203,1336
232,200,140
156,149,119
106,81,2776
125,157,1012
102,190,90
105,125,1208
215,226,8768
205,194,131
47,92,705
44,228,2018
160,98,495
80,75,2236
146,211,1274
227,250,161
65,203,398
247,248,1195
230,220,793
72,205,13
37,153,1403
192,173,160
200,231,785
213,210,9898
62,210,500
178,105,14663
76,84,25
71,179,205
95,160,8
115,162,33559
153,84,1547
222,232,633
243,248,334
82,167,263
47,147,165
46,138,3
165,118,11
154,206,31
45,111,265
183,133,581
174,201,270
199,200,394
131,106,689
84,211,665
65,126,1055
42,117,1
225,230,554
26,114,16
49,205,1507
194,226,684
49,176,549
50,153,200
37,129,14
245,213,682
99,129,1020
50,91,1062
41,138,58
231,171,101
81,161,66
217,180,686
174,146,9
180,232,942
98,149,906
176,198,22
122,206,79
194,233,767
74,185,1124
47,132,539
154,207,309
200,159,282
77,160,166
135,215,10642
248,247,1154
137,197,4
181,218,1208
89,71,2405
202,168,509
219,226,346
236,191,18
184,203,7062
153,203,13875
71,61,268
44,208,21096
115,193,44
56,118,1731
53,217,2341
84,218,230
209,195,203
55,182,1945
90,82,133
179,101,4679
207,236,1039
239,228,134
238,229,244
223,236,2074
199,240,480
91,76,210
84,126,2309
131,165,17
157,208,33318
205,246,520
134,210,463
231,211,641
171,222,309
214,205,24682
148,96,8
196,205,274
181,133,1146
48,194,3430
45,153,669
149,186,16
227,196,6221
119,186,10
68,138,4126
63,212,241
123,216,1232
121,203,213
79,207,5540
64,186,694
248,251,4640
205,204,441
245,124,493
229,205,902
130,166,146
29,116,25
135,100,65
202,169,32
139,132,267
171,128,3616
49,230,1547
78,73,460
233,198,2001
106,148,269
175,156,2061
140,129,40
122,84,10
80,220,60
193,183,80
24,145,2654
235,165,4217
242,227,104
183,192,737
192,244,674
169,115,1346
203,162,422
110,156,1616
83,178,558
222,167,8388
61,69,539
198,193,110
71,218,264
221,201,999
90,201,714
172,218,58
106,177,2014
62,151,3
208,208,5948
84,216,30
58,187,557
156,164,535
35,97,35
188,229,702
55,129,93
198,213,937
173,119,150656
59,158,897
198,249,739
84,225,10
202,176,171
222,226,1003
112,193,52
171,109,30
121,120,720
194,145,3482
157,196,258
247,206,773
160,96,299
190,176,199
253,226,168
235,200,108
197,155,440
208,199,1035
210,222,1162
80,98,5
211,231,196
209,157,336
53,227,286
189,221,61
163,209,19492
152,152,29
24,106,1965
57,182,3706
84,214,802
65,212,299
234,222,7162
110,147,2159
118,175,206
78,200,513
152,153,7
166,96,903
123,163,429
57,138,5755
217,172,1561
233,253,212
165,196,44
91,99,1232
108,159,175
36,128,399
126,170,143
120,194,15
73,184,62
162,118,159
227,165,1059
154,166,811
153,192,233
94,74,62
190,240,3904
144,79,263
144,89,316
58,109,416
64,179,521
249,226,63
51,185,3116
78,207,1292
211,183,37
143,184,13
170,155,644
25,112,33
132,156,396
34,117,18
128,142,70
79,192,8
167,136,215
140,191,240
55,173,1010
51,224,973
53,230,1182
213,232,685
171,118,26278
158,162,102
72,197,73
75,146,701
201,252,520
221,174,115
179,201,1653
212,213,2131
207,202,402
168,154,39
134,190,121
212,168,68
193,236,1296
84,209,152
115,145,4611
197,223,1430
96,144,2867
226,168,14
141,126,436
45,110,10
130,213,753
100,138,528
86,87,4247
38,123,27
30,140,2215
129,100,118
226,246,238
94,204,320
109,151,19
120,199,16
247,251,4302
41,187,9611
19,142,8806
50,178,942
29,104,26
97,202,4092
83,156,134
66,103,312
74,83,3399
179,141,15
51,168,1686
133,195,7028
174,113,22001
107,180,153972
203,224,632
223,249,395
142,118,1603
88,201,633
82,215,53
88,147,938
28,131,451
230,122,103
154,180,631
99,203,267
100,84,769
94,162,543
82,187,499
57,187,341
107,77,1855
203,195,514
76,227,352
159,199,2640
190,156,368
42,177,40392
91,207,20
214,166,1138
188,143,722
216,227,985
182,170,74
107,143,1686
240,254,865
135,81,407
27,111,439
237,171,1068
151,173,24
76,151,255
247,234,43
55,209,956
97,179,1063
200,104,1241
87,172,436
168,151,428
148,78,63
232,199,470
196,168,1558
126,86,1388
192,191,170
92,210,3
249,232,207
121,135,2246
139,212,1150
105,139,104
65,174,9
82,88,3941
180,149,93
79,200,58
208,165,113
154,142,156
53,191,41
25,122,1021
103,221,129
161,124,13
94,144,26
47,139,76
134,138,609
201,233,485
90,68,5282
87,93,18
54,163,478
130,68,7998
31,130,14
119,117,23
141,159,49
55,133,7
97,226,1407
130,109,635
74,190,7088
110,92,506
171,203,222
229,196,5022
171,206,617
114,173,148
166,189,195
95,195,30
239,221,335
19,128,2391
60,187,676
237,248,684
75,62,43427
187,196,2989
26,120,33
197,246,702
21,138,6035
159,183,2110
110,186,24
232,229,208
40,139,13
209,214,833
232,243,325
252,226,123
169,199,252
151,121,772
53,125,109
202,157,46
145,144,61
217,201,801
126,76,2
135,103,18
233,191,334
80,134,87
133,205,95
112,194,2069
42,151,364
70,233,5374
22,102,57
137,157,94
130,205,64
185,206,1610
70,69,11
211,241,1056
168,165,261
224,202,109
228,207,1306
63,72,509
107,151,772
129,175,668
231,207,319
58,104,543
53,94,529
157,90,19486
41,161,3594
200,206,983
119,68,389
219,251,1023
145,180,27
88,187,13
48,139,703
86,147,72
151,117,144
155,129,59
239,202,453
59,111,63
42,185,53976
76,191,405
173,135,2
163,89,6951
216,164,6378
230,119,28353
227,115,6231
214,224,459
103,179,113
98,167,260
87,221,291
232,177,7
42,142,580
177,182,137
77,191,42
200,105,21985
121,69,1441
140,209,1549
48,202,3785
208,225,800
47,218,432
78,186,206
75,211,236
94,202,794
113,204,92
217,176,3293
195,237,2048
162,85,274
244,240,348
234,163,5632
215,184,2063
191,243,338
229,184,2253
215,193,3282
60,111,5131
179,220,815
111,90,25
70,98,2263
60,104,295
108,180,11862
118,148,203193
218,211,2413
182,179,101
133,107,3
99,187,96
193,212,157
160,97,118
188,253,960
73,180,2915
186,185,76
207,216,375
168,126,1268
62,200,645
187,210,504
132,216,1967
192,207,408
204,255,583
186,207,927
182,214,3420
101,103,109
120,143,4858
219,246,947
149,201,122
102,113,16
43,182,20487
167,213,3788
193,242,4203
32,151,2312
225,246,169
72,216,1022
78,206,2994
149,90,3945
124,150,46400
99,163,51
44,202,4824
56,231,16321
133,125,6520
132,148,143
74,205,328
147,199,790
38,166,4821
157,132,1397
185,240,134
54,140,1276
55,152,3550
63,161,265
155,191,11
164,119,84
180,250,1407
55,144,19
89,188,401
202,204,358
59,170,181
106,123,57
144,154,62
138,180,1862
92,154,34
61,165,13278
178,173,869
86,135,62
235,210,184
112,163,458
69,166,453
138,75,184
148,167,80
106,162,354
169,156,128
227,162,1015
82,172,52
45,186,7682
86,79,4063
52,156,159
71,189,162
254,202,12096
150,208,652
148,155,11
201,191,20
37,147,2659
194,204,305
170,97,12667
159,160,202
45,114,5
70,116,534
150,189,489
174,107,7039
127,203,22
215,251,476
47,148,300
236,227,179
254,244,532
100,89,38
88,123,1230
219,215,268
161,80,3651
203,157,7
152,127,375
216,239,371
80,219,56
138,146,42
163,101,245
49,159,45
240,211,140
177,162,1395
158,95,1275
61,187,93
27,147,6959
30,99,37
100,201,315
145,141,225
173,117,1060
160,146,1160
134,201,85
90,164,84
162,199,481
223,200,344
199,227,520
224,219,552
63,232,859
240,220,450
163,147,130
25,95,1764
103,164,295
111,113,1834
144,177,54
201,103,462
187,142,111
208,155,935
99,131,22
195,218,334
79,74,2548
180,139,27
249,217,214
91,184,308
213,209,19771
124,201,13
118,151,30868
218,164,227
178,215,1272
237,196,4249
138,105,893
74,90,62
173,195,600
206,213,486
193,211,257
203,106,1359
193,182,81
63,224,2162
178,101,23802
45,168,286
186,175,1
113,123,34
97,156,22
83,185,148
133,181,54
55,95,3885
56,106,4060
187,215,475
109,86,1207
32,103,243
226,252,236
143,162,724
67,220,11974
103,78,45
89,87,667
229,200,189
140,115,2020
80,222,134
212,231,476
