x,y,value
4974,5412,141
4964,5402,694
4974,5402,2
4894,5392,80
4944,5392,115
4954,5392,241
5014,5392,986
4874,5382,149
4894,5382,1205
4904,5382,1742
4944,5382,444
4954,5382,255
4974,5382,16
4984,5382,85
5024,5382,45
5044,5382,1511
4824,5372,29
4834,5372,1
4854,5372,1027
4864,5372,43
4884,5372,2
4894,5372,17
4974,5372,2
4984,5372,8
5044,5372,554
5054,5372,1
5064,5372,4
4824,5362,32
4834,5362,31
4894,5362,2
4954,5362,5
4974,5362,29
5104,5362,1883
4854,5352,14
4894,5352,23
4924,5352,7
4934,5352,28
4944,5352,1
4954,5352,40
4964,5352,3
4974,5352,2
4994,5352,1
5004,5352,17
5094,5352,1
5104,5352,222
4804,5342,4
4814,5342,58
4854,5342,38
4914,5342,3
4944,5342,93
4954,5342,18
4984,5342,41
4994,5342,303
5004,5342,209
5014,5342,57
5084,5342,25
4804,5332,5
4824,5332,3367
4854,5332,12
4864,5332,142
4884,5332,4
4904,5332,14
4934,5332,1
4944,5332,15
4954,5332,16
4984,5332,9
4994,5332,197
5004,5332,43
5074,5332,6
5084,5332,35
4794,5322,5
4804,5322,15
4824,5322,6301
4844,5322,7
4874,5322,6
4884,5322,99
4904,5322,15
4944,5322,4
4984,5322,1
4994,5322,89
5004,5322,416
5014,5322,76
5024,5322,209
5034,5322,229
5044,5322,561
5054,5322,146
5064,5322,5162
5074,5322,156
4764,5312,206
4774,5312,316
4804,5312,44
4814,5312,46
4824,5312,53
4834,5312,68
4844,5312,534
4854,5312,65
4864,5312,40
4884,5312,79
4894,5312,8
4904,5312,10
4934,5312,49
5004,5312,961
5014,5312,230
5024,5312,116
5034,5312,26
5044,5312,3
5054,5312,1
5064,5312,123
4774,5302,48
4824,5302,3
4834,5302,113
4854,5302,1
4884,5302,212
4894,5302,4
4904,5302,210
4984,5302,2
4994,5302,296
5004,5302,259
5014,5302,1
5044,5302,1
5064,5302,110
4774,5292,402
4824,5292,34
4834,5292,2
4874,5292,2
4884,5292,125
4904,5292,1
4984,5292,131
4994,5292,8
5004,5292,6
5054,5292,49
5064,5292,7
5074,5292,1
5094,5292,183
5104,5292,19
4804,5282,82
4814,5282,25
4824,5282,118
4834,5282,4
4874,5282,1
4884,5282,37
4974,5282,64
4984,5282,3
5004,5282,5
5064,5282,13
5074,5282,28
5084,5282,7322
5094,5282,804
5104,5282,249
4744,5272,1
4754,5272,59
4764,5272,131
4774,5272,154
4784,5272,642
4814,5272,36
4824,5272,49
4884,5272,2413
4894,5272,588
4944,5272,5
4954,5272,17
4964,5272,55
4974,5272,429
4984,5272,1
5054,5272,40
5064,5272,157
5074,5272,4
5084,5272,14
5094,5272,71
4744,5262,9
4754,5262,2
4764,5262,18
4784,5262,21
4794,5262,28
4804,5262,25
4814,5262,61
4824,5262,139
4834,5262,7
4884,5262,44
4894,5262,26
4944,5262,17
4974,5262,56
5044,5262,11
5054,5262,32
5094,5262,314
5104,5262,1
4674,5252,22
4684,5252,248
4694,5252,2
4714,5252,132
4724,5252,48
4764,5252,15
4774,5252,46
4784,5252,89
4794,5252,36
4804,5252,7
4814,5252,428
4824,5252,5875
4834,5252,5387
4894,5252,54
4904,5252,12
4944,5252,51
4974,5252,19
5044,5252,29
5084,5252,29
5094,5252,172
4654,5242,1
4664,5242,2
4684,5242,139
4694,5242,134
4704,5242,272
4714,5242,9
4724,5242,169
4734,5242,2438
4764,5242,33
4774,5242,89
4784,5242,112
4794,5242,18
4814,5242,147
4824,5242,5545
4834,5242,864
4894,5242,4
4904,5242,6
4934,5242,28
4944,5242,7
4974,5242,1
4984,5242,16
5034,5242,10
5044,5242,62
5084,5242,99
4644,5232,1
4654,5232,13
4664,5232,42
4674,5232,53
4684,5232,45
4694,5232,116
4724,5232,7
4734,5232,73
4744,5232,63
4754,5232,208
4764,5232,9
4774,5232,109
4784,5232,514
4814,5232,22
4834,5232,62
4844,5232,1
4914,5232,1
4934,5232,51
5034,5232,37
5044,5232,1
5074,5232,3
4644,5222,2
4654,5222,45
4664,5222,34
4674,5222,111
4684,5222,827
4694,5222,118
4704,5222,180
4714,5222,290
4734,5222,121
4744,5222,157
4754,5222,225
4764,5222,6
4774,5222,126
4784,5222,148
4914,5222,6
4934,5222,40
4944,5222,1
5024,5222,2
5034,5222,34
5074,5222,22
4644,5212,6
4654,5212,62
4664,5212,86
4684,5212,109
4694,5212,14
4704,5212,285
4724,5212,157
4734,5212,224
4744,5212,3080
4754,5212,131
4774,5212,3
4784,5212,66
4844,5212,6
4884,5212,7
4904,5212,1
4914,5212,46
4924,5212,2484
4934,5212,209
4944,5212,119
4964,5212,30
5014,5212,1
5024,5212,10
4644,5202,169
4654,5202,272
4664,5202,353
4674,5202,611
4684,5202,206
4694,5202,118
4704,5202,123
4724,5202,185
4744,5202,50
4754,5202,217
4844,5202,2
4854,5202,12
4874,5202,1
4894,5202,21
4914,5202,18
4934,5202,2
4944,5202,32
4974,5202,2
4994,5202,10
5004,5202,1
5024,5202,36
5034,5202,6
4634,5192,1
4644,5192,39
4654,5192,1983
4664,5192,28776
4674,5192,8659
4684,5192,16
4694,5192,104
4704,5192,148
4714,5192,44
4724,5192,432
4734,5192,178
4754,5192,35
4764,5192,54
4854,5192,272
4874,5192,30
4884,5192,2
4914,5192,3
4934,5192,7
4994,5192,6
5004,5192,134
5014,5192,9
4624,5182,9
4634,5182,516
4644,5182,117
4654,5182,246
4664,5182,21843
4674,5182,985
4684,5182,63
4694,5182,217
4704,5182,43
4714,5182,1390
4724,5182,19
4734,5182,791
