x,y,val
11,14,12931
13,10,1781
7,1,8032
6,12,60004
11,13,3234
10,8,128
7,15,12103
2,13,327
10,12,6020
4,14,11861
3,14,22565
9,12,4600
11,15,17513
7,14,2014
8,0,45953
13,11,19404
6,1,23344
11,9,20769
13,15,4796
14,11,31049
10,13,12273
5,15,24578
12,8,193
13,13,12949
1,15,7861
0,13,1
9,11,27761
8,11,53921
7,10,4180
5,14,200
3,15,11575
14,12,6774
12,13,3501
15,13,97957
11,12,4634
10,14,2722
9,0,6247
9,15,246
2,12,328
8,13,1365
14,14,23898
9,9,7558
4,13,56
12,10,21727
11,11,3605
10,10,34119
2,15,34690
13,12,7370
5,12,15478
7,13,27881
14,15,22518
11,10,15268
6,15,412
14,10,1199
5,13,4728
2,14,4642
15,12,5935
4,15,77
11,8,770
10,15,25310
6,14,5
12,9,14893
8,12,11451
10,9,22080
3,13,236
8,15,64
15,15,185
8,9,2556
13,14,8792
14,13,35074
8,10,8835
0,14,51584
9,10,964
1,14,5631
7,0,12461
1,13,23524
9,13,723
10,11,61704
3,12,37321
7,11,2472
4,12,89
9,14,14650
13,8,448
14,8,3799
7,12,102
8,14,36836
12,15,39494
13,9,18999
12,14,2162
14,9,2953
12,11,577
6,13,71
0,15,37691
12,12,8294
15,14,84
